TimeStamp;Вибрация корпуса силовой турбины (гориз.) (поз. В2);0 - Bad, 1 - Good
12:10:00.001;1.145;1
12:10:00.024;1.145;1
12:10:00.046;1.14;1
12:10:00.068;1.14;1
12:10:00.091;1.142;1
12:10:00.114;1.145;1
12:10:00.140;1.147;1
12:10:00.162;1.147;1
12:10:00.183;1.145;1
12:10:00.206;1.145;1
12:10:00.229;1.142;1
12:10:00.253;1.15;1
12:10:00.277;1.147;1
12:10:00.298;1.147;1
12:10:00.322;1.152;1
12:10:00.344;1.147;1
12:10:00.369;1.147;1
12:10:00.391;1.147;1
12:10:00.414;1.154;1
12:10:00.437;1.154;1
12:10:00.459;1.154;1
12:10:00.487;1.154;1
12:10:00.508;1.154;1
12:10:00.528;1.159;1
12:10:00.552;1.159;1
12:10:00.575;1.159;1
12:10:00.597;1.164;1
12:10:00.620;1.159;1
12:10:00.643;1.157;1
12:10:00.669;1.159;1
12:10:00.689;1.159;1
12:10:00.712;1.162;1
12:10:00.735;1.162;1
12:10:00.758;1.162;1
12:10:00.781;1.159;1
12:10:00.807;1.159;1
12:10:00.829;1.159;1
12:10:00.852;1.164;1
12:10:00.874;1.164;1
12:10:00.896;1.166;1
12:10:00.919;1.164;1
12:10:00.942;1.159;1
12:10:00.968;1.159;1
12:10:00.988;1.162;1
12:10:01.011;1.164;1
12:10:01.034;1.164;1
12:10:01.057;1.164;1
12:10:01.080;1.166;1
12:10:01.106;1.166;1
12:10:01.127;1.166;1
12:10:01.150;1.166;1
12:10:01.174;1.166;1
12:10:01.195;1.169;1
12:10:01.218;1.164;1
12:10:01.241;1.171;1
12:10:01.267;1.171;1
12:10:01.287;1.171;1
12:10:01.310;1.171;1
12:10:01.333;1.171;1
12:10:01.356;1.171;1
12:10:01.380;1.169;1
12:10:01.402;1.169;1
12:10:01.425;1.171;1
12:10:01.448;1.174;1
12:10:01.471;1.171;1
12:10:01.494;1.171;1
12:10:01.517;1.174;1
12:10:01.540;1.174;1
12:10:01.563;1.174;1
12:10:01.587;1.169;1
12:10:01.610;1.178;1
12:10:01.633;1.171;1
12:10:01.657;1.171;1
12:10:01.680;1.171;1
12:10:01.702;1.171;1
12:10:01.725;1.174;1
12:10:01.748;1.171;1
12:10:01.772;1.171;1
12:10:01.793;1.169;1
12:10:01.817;1.169;1
12:10:01.840;1.174;1
12:10:01.863;1.174;1
12:10:01.889;1.181;1
12:10:01.910;1.176;1
12:10:01.932;1.176;1
12:10:01.956;1.176;1
12:10:01.978;1.176;1
12:10:02.001;1.176;1
12:10:02.026;1.183;1
12:10:02.047;1.181;1
12:10:02.069;1.176;1
12:10:02.092;1.178;1
12:10:02.116;1.178;1
12:10:02.140;1.178;1
12:10:02.161;1.181;1
12:10:02.184;1.181;1
12:10:02.208;1.176;1
12:10:02.231;1.174;1
12:10:02.254;1.174;1
12:10:02.278;1.181;1
12:10:02.301;1.176;1
12:10:02.325;1.178;1
12:10:02.345;1.176;1
12:10:02.368;1.176;1
12:10:02.392;1.176;1
12:10:02.415;1.174;1
12:10:02.437;1.178;1
12:10:02.463;1.178;1
12:10:02.487;1.176;1
12:10:02.508;1.176;1
12:10:02.529;1.176;1
12:10:02.553;1.181;1
12:10:02.576;1.178;1
12:10:02.598;1.183;1
12:10:02.621;1.176;1
12:10:02.644;1.176;1
12:10:02.670;1.181;1
12:10:02.690;1.186;1
12:10:02.713;1.186;1
12:10:02.737;1.183;1
12:10:02.763;1.181;1
12:10:02.785;1.181;1
12:10:02.807;1.178;1
12:10:02.831;1.186;1
12:10:02.854;1.186;1
12:10:02.875;1.188;1
12:10:02.899;1.181;1
12:10:02.923;1.181;1
12:10:02.945;1.181;1
12:10:02.967;1.186;1
12:10:02.990;1.186;1
12:10:03.014;1.186;1
12:10:03.037;1.181;1
12:10:03.060;1.181;1
12:10:03.083;1.178;1
12:10:03.108;1.186;1
12:10:03.128;1.183;1
12:10:03.152;1.183;1
12:10:03.174;1.183;1
12:10:03.197;1.183;1
12:10:03.220;1.181;1
12:10:03.243;1.181;1
12:10:03.266;1.186;1
12:10:03.291;1.181;1
12:10:03.312;1.181;1
12:10:03.335;1.181;1
12:10:03.358;1.181;1
12:10:03.383;1.181;1
12:10:03.405;1.178;1
12:10:03.430;1.176;1
12:10:03.452;1.181;1
12:10:03.473;1.178;1
12:10:03.497;1.178;1
12:10:03.519;1.176;1
12:10:03.542;1.181;1
12:10:03.565;1.178;1
12:10:03.588;1.178;1
12:10:03.611;1.176;1
12:10:03.634;1.176;1
12:10:03.657;1.174;1
12:10:03.683;1.174;1
12:10:03.704;1.174;1
12:10:03.728;1.178;1
12:10:03.749;1.178;1
12:10:03.772;1.178;1
12:10:03.795;1.176;1
12:10:03.818;1.174;1
12:10:03.842;1.178;1
12:10:03.863;1.178;1
12:10:03.887;1.181;1
12:10:03.912;1.181;1
12:10:03.934;1.176;1
12:10:03.955;1.176;1
12:10:03.981;1.176;1
12:10:04.004;1.181;1
12:10:04.025;1.181;1
12:10:04.050;1.181;1
12:10:04.071;1.178;1
12:10:04.095;1.174;1
12:10:04.117;1.178;1
12:10:04.140;1.181;1
12:10:04.162;1.181;1
12:10:04.186;1.181;1
12:10:04.209;1.181;1
12:10:04.231;1.178;1
12:10:04.254;1.176;1
12:10:04.278;1.178;1
