TimeStamp;Давление масла в нагнетающей магистрали двигателя (после фильтра) (поз. Pм);0 - Bad, 1 - Good
12:10:00.001;302.095;1
12:10:00.024;302.095;1
12:10:00.046;302.559;1
12:10:00.068;302.559;1
12:10:00.091;302.262;1
12:10:00.114;302.262;1
12:10:00.140;301.743;1
12:10:00.162;301.947;1
12:10:00.183;302.262;1
12:10:00.206;302.262;1
12:10:00.229;302.299;1
12:10:00.253;302.299;1
12:10:00.277;302.151;1
12:10:00.298;302.262;1
12:10:00.322;302.355;1
12:10:00.344;302.373;1
12:10:00.369;302.373;1
12:10:00.391;302.373;1
12:10:00.414;302.225;1
12:10:00.437;301.873;1
12:10:00.459;301.669;1
12:10:00.487;301.947;1
12:10:00.508;302.318;1
12:10:00.528;302.318;1
12:10:00.552;302.392;1
12:10:00.575;302.392;1
12:10:00.597;302.28;1
12:10:00.620;302.058;1
12:10:00.643;301.891;1
12:10:00.669;301.891;1
12:10:00.689;301.669;1
12:10:00.712;301.594;1
12:10:00.735;301.594;1
12:10:00.758;302.002;1
12:10:00.781;302.484;1
12:10:00.807;302.484;1
12:10:00.829;302.763;1
12:10:00.852;302.447;1
12:10:00.874;302.447;1
12:10:00.896;302.039;1
12:10:00.919;302.355;1
12:10:00.942;302.355;1
12:10:00.968;302.058;1
12:10:00.988;301.632;1
12:10:01.011;301.65;1
12:10:01.034;301.65;1
12:10:01.057;301.78;1
12:10:01.080;301.78;1
12:10:01.106;301.632;1
12:10:01.127;302.058;1
12:10:01.150;302.058;1
12:10:01.174;302.169;1
12:10:01.195;302.058;1
12:10:01.218;301.817;1
12:10:01.241;301.817;1
12:10:01.267;302.206;1
12:10:01.287;302.28;1
12:10:01.310;302.28;1
12:10:01.333;301.78;1
12:10:01.356;301.78;1
12:10:01.380;301.78;1
12:10:01.402;301.557;1
12:10:01.425;301.706;1
12:10:01.448;301.984;1
12:10:01.471;301.947;1
12:10:01.494;301.947;1
12:10:01.517;301.947;1
12:10:01.540;301.947;1
12:10:01.563;301.873;1
12:10:01.587;301.798;1
12:10:01.610;301.891;1
12:10:01.633;302.077;1
12:10:01.657;302.077;1
12:10:01.680;302.077;1
12:10:01.702;302.262;1
12:10:01.725;302.151;1
12:10:01.748;301.947;1
12:10:01.772;301.798;1
12:10:01.793;301.798;1
12:10:01.817;301.984;1
12:10:01.840;301.761;1
12:10:01.863;301.761;1
12:10:01.889;301.594;1
12:10:01.910;301.557;1
12:10:01.932;301.557;1
12:10:01.956;301.891;1
12:10:01.978;302.503;1
12:10:02.001;302.503;1
12:10:02.026;302.002;1
12:10:02.047;301.353;1
12:10:02.069;301.353;1
12:10:02.092;301.242;1
12:10:02.116;301.632;1
12:10:02.140;301.669;1
12:10:02.161;302.225;1
12:10:02.184;302.225;1
12:10:02.208;302.225;1
12:10:02.231;302.392;1
12:10:02.254;302.614;1
12:10:02.278;302.744;1
12:10:02.301;302.41;1
12:10:02.325;302.41;1
12:10:02.345;301.854;1
12:10:02.368;301.854;1
12:10:02.392;301.947;1
12:10:02.415;302.114;1
12:10:02.437;302.206;1
12:10:02.463;302.336;1
12:10:02.487;302.336;1
12:10:02.508;302.336;1
12:10:02.529;302.206;1
12:10:02.553;302.225;1
12:10:02.576;301.891;1
12:10:02.598;301.465;1
12:10:02.621;301.465;1
12:10:02.644;301.353;1
12:10:02.670;301.65;1
12:10:02.690;301.965;1
