TimeStamp;Положение КПВ (поз. A3);0 - Bad, 1 - Good
12:10:00.001;8.072;1
12:10:00.024;8.072;1
12:10:00.046;7.931;0
12:10:00.068;7.931;1
12:10:00.091;7.931;1
12:10:00.114;7.926;1
12:10:00.140;7.943;1
12:10:00.162;7.985;1
12:10:00.183;7.917;1
12:10:00.206;7.917;1
12:10:00.229;7.917;1
12:10:00.253;7.948;1
12:10:00.277;7.985;1
12:10:00.298;8.047;1
12:10:00.322;8.018;1
12:10:00.344;8.018;1
12:10:00.369;8.156;0
12:10:00.391;8.156;1
12:10:00.414;8.047;0
12:10:00.437;8.131;0
12:10:00.459;8.089;1
12:10:00.487;8.08;1
12:10:00.508;8.08;1
12:10:00.528;8.086;1
12:10:00.552;8.047;1
12:10:00.575;8.047;1
12:10:00.597;8.08;1
12:10:00.620;8.148;1
12:10:00.643;8.148;1
12:10:00.669;8.17;1
12:10:00.689;8.092;1
12:10:00.712;8.016;1
12:10:00.735;8.016;1
12:10:00.758;8.114;0
12:10:00.781;8.114;1
12:10:00.807;8.142;1
12:10:00.829;8.083;1
12:10:00.852;8.013;1
12:10:00.874;8.013;1
12:10:00.896;8.08;1
12:10:00.919;8.08;1
12:10:00.942;8.137;1
12:10:00.968;8.03;0
12:10:00.988;8.061;1
12:10:01.011;8.069;1
12:10:01.034;8.069;1
12:10:01.057;8.069;1
12:10:01.080;8.002;1
12:10:01.106;8.108;0
12:10:01.127;8.038;1
12:10:01.150;8.038;1
12:10:01.174;8.078;1
12:10:01.195;8.125;1
12:10:01.218;8.125;1
12:10:01.241;8.063;1
12:10:01.267;8.097;1
12:10:01.287;8.179;1
12:10:01.310;8.179;1
12:10:01.333;8.033;0
12:10:01.356;8.033;1
12:10:01.380;8.004;1
12:10:01.402;7.973;1
12:10:01.425;8.018;1
12:10:01.448;8.123;0
12:10:01.471;8.123;1
12:10:01.494;8.123;1
12:10:01.517;7.993;0
12:10:01.540;7.993;1
12:10:01.563;8.078;1
12:10:01.587;8.137;1
12:10:01.610;8.17;1
12:10:01.633;8.17;1
12:10:01.657;8.182;1
12:10:01.680;8.182;1
12:10:01.702;8.246;1
12:10:01.725;8.26;0
12:10:01.748;8.106;0
12:10:01.772;8.106;1
12:10:01.793;8.016;0
12:10:01.817;8.069;1
12:10:01.840;8.097;1
12:10:01.863;8.097;1
12:10:01.889;8.142;1
12:10:01.910;8.142;1
12:10:01.932;8.078;1
12:10:01.956;8.182;0
12:10:01.978;8.153;1
12:10:02.001;8.153;1
12:10:02.026;8.066;0
12:10:02.047;8.066;1
12:10:02.069;8.063;1
12:10:02.092;8.184;0
12:10:02.116;8.198;1
12:10:02.140;8.142;1
12:10:02.161;8.142;1
12:10:02.184;8.142;1
12:10:02.208;8.078;1
12:10:02.231;8.052;1
12:10:02.254;8.106;1
12:10:02.278;8.08;1
12:10:02.301;8.08;1
12:10:02.325;8.159;1
12:10:02.345;8.128;1
12:10:02.368;8.128;1
12:10:02.392;8.094;1
12:10:02.415;8.153;1
12:10:02.437;8.123;1
12:10:02.463;8.123;1
12:10:02.487;8.153;1
12:10:02.508;8.153;1
12:10:02.529;8.215;1
12:10:02.553;8.165;1
12:10:02.576;8.134;1
12:10:02.598;8.134;1
12:10:02.621;8.103;1
12:10:02.644;8.038;1
12:10:02.670;8.035;1
12:10:02.690;8.075;1
12:10:02.713;8.075;1
12:10:02.737;8.075;1
12:10:02.763;8.125;1
12:10:02.785;8.184;1
12:10:02.807;8.1;1
12:10:02.831;8.123;1
12:10:02.854;8.123;1
12:10:02.875;8.123;1
12:10:02.899;8.184;1
12:10:02.923;8.167;1
12:10:02.945;8.21;1
12:10:02.967;8.218;1
12:10:02.990;8.218;1
12:10:03.014;8.218;1
12:10:03.037;8.17;1
12:10:03.060;8.131;1
12:10:03.083;8.229;0
12:10:03.108;8.148;1
12:10:03.128;8.148;1
12:10:03.152;8.159;1
12:10:03.174;8.159;1
12:10:03.197;8.159;1
12:10:03.220;8.246;0
12:10:03.243;8.235;1
12:10:03.266;8.235;1
12:10:03.291;8.086;0
12:10:03.312;8.17;1
12:10:03.335;8.142;1
12:10:03.358;8.142;1
12:10:03.383;8.142;1
12:10:03.405;8.184;1
12:10:03.430;8.184;1
12:10:03.452;8.092;0
12:10:03.473;8.108;1
12:10:03.497;8.19;1
12:10:03.519;8.263;1
12:10:03.542;8.263;1
12:10:03.565;8.274;1
12:10:03.588;8.274;1
12:10:03.611;8.198;1
12:10:03.634;8.17;1
12:10:03.657;8.224;1
12:10:03.683;8.288;1
12:10:03.704;8.288;1
12:10:03.728;8.288;1
12:10:03.749;8.257;1
12:10:03.772;8.193;1
12:10:03.795;8.153;1
12:10:03.818;8.137;1
12:10:03.842;8.137;1
12:10:03.863;8.137;1
12:10:03.887;8.246;0
12:10:03.912;8.187;1
12:10:03.934;8.176;1
12:10:03.955;8.061;0
12:10:03.981;8.061;1
12:10:04.004;8.075;1
12:10:04.025;8.184;0
12:10:04.050;8.184;1
12:10:04.071;8.151;1
12:10:04.095;8.246;0
12:10:04.117;8.246;1
12:10:04.140;8.274;1
12:10:04.162;8.215;1
12:10:04.186;8.246;1
12:10:04.209;8.246;1
12:10:04.231;8.075;0
12:10:04.254;8.075;1
12:10:04.278;8.08;1
12:10:04.300;8.055;1
12:10:04.324;8.17;0
12:10:04.346;8.232;1
12:10:04.369;8.232;1
12:10:04.393;8.232;1
12:10:04.415;8.207;1
12:10:04.441;8.153;1
12:10:04.461;8.17;1
12:10:04.484;8.182;1
12:10:04.507;8.182;1
12:10:04.530;8.159;1
12:10:04.553;8.263;0
12:10:04.576;8.263;1
12:10:04.600;8.322;1
12:10:04.622;8.26;1
12:10:04.646;8.26;1
12:10:04.668;8.26;1
12:10:04.692;8.21;1
12:10:04.715;8.232;1
12:10:04.738;8.229;1
12:10:04.761;8.274;1
12:10:04.786;8.274;1
12:10:04.809;8.184;0
12:10:04.832;8.184;1
12:10:04.852;8.17;1
12:10:04.876;8.089;1
12:10:04.898;8.156;1
12:10:04.922;8.212;1
12:10:04.946;8.212;1
12:10:04.969;8.212;1
12:10:04.990;8.182;1
12:10:05.015;8.078;0
12:10:05.036;8.108;1
12:10:05.062;8.108;1
12:10:05.086;8.108;1
12:10:05.105;8.108;1
12:10:05.130;8.184;1
12:10:05.151;8.094;0
12:10:05.175;8.114;1
12:10:05.198;8.103;1
12:10:05.220;8.103;1
12:10:05.246;8.232;0
12:10:05.269;8.232;1
12:10:05.290;8.21;1
12:10:05.312;8.218;1
12:10:05.335;8.336;0
12:10:05.361;8.336;1
12:10:05.387;8.184;0
12:10:05.406;8.263;1
12:10:05.427;8.184;1
12:10:05.451;8.184;1
12:10:05.474;8.232;1
12:10:05.497;8.232;1
12:10:05.521;8.252;1
12:10:05.543;8.173;1
12:10:05.565;8.173;1
12:10:05.588;8.165;1
12:10:05.612;8.165;1
12:10:05.636;8.165;1
12:10:05.657;8.182;1
12:10:05.685;8.187;1
12:10:05.705;8.182;1
12:10:05.729;8.274;0
12:10:05.750;8.274;1
12:10:05.772;8.274;1
12:10:05.795;8.187;1
12:10:05.818;8.17;1
12:10:05.841;8.19;1
12:10:05.867;8.215;1
12:10:05.887;8.179;1
12:10:05.910;8.179;1
12:10:05.933;8.218;1
12:10:05.956;8.218;1
12:10:05.980;8.294;1
12:10:06.002;8.317;1
12:10:06.025;8.336;1
12:10:06.048;8.336;1
12:10:06.071;8.17;0
12:10:06.094;8.17;1
12:10:06.117;8.277;0
12:10:06.140;8.46;0
12:10:06.163;8.26;0
12:10:06.187;8.26;1
12:10:06.209;8.159;0
12:10:06.232;8.232;1
12:10:06.255;8.232;1
12:10:06.280;8.274;1
12:10:06.301;8.257;1
12:10:06.324;8.257;1
12:10:06.350;8.305;1
12:10:06.370;8.21;0
12:10:06.393;8.21;1
12:10:06.416;8.263;1
12:10:06.439;8.336;1
12:10:06.465;8.336;1
12:10:06.485;8.398;1
12:10:06.508;8.305;0
12:10:06.531;8.198;0
12:10:06.554;8.198;1
12:10:06.577;8.35;0
12:10:06.600;8.35;1
12:10:06.623;8.274;1
12:10:06.646;8.274;1
12:10:06.669;8.235;1
12:10:06.692;8.235;1
12:10:06.715;8.249;1
12:10:06.738;8.249;1
12:10:06.761;8.308;1
12:10:06.784;8.308;1
12:10:06.809;8.345;1
12:10:06.831;8.288;1
12:10:06.854;8.297;1
12:10:06.876;8.37;1
12:10:06.899;8.37;1
12:10:06.922;8.37;1
12:10:06.945;8.367;1
12:10:06.968;8.37;1
12:10:06.991;8.26;0
12:10:07.016;8.26;1
12:10:07.039;8.26;1
12:10:07.061;8.218;1
12:10:07.086;8.215;1
12:10:07.108;8.333;0
12:10:07.131;8.333;1
12:10:07.154;8.288;1
12:10:07.175;8.288;1
12:10:07.200;8.356;1
12:10:07.222;8.412;1
12:10:07.244;8.347;1
12:10:07.269;8.266;1
12:10:07.291;8.266;1
12:10:07.314;8.266;1
12:10:07.337;8.291;1
12:10:07.359;8.277;1
12:10:07.387;8.364;1
12:10:07.407;8.412;1
12:10:07.428;8.412;1
12:10:07.452;8.305;0
12:10:07.474;8.305;1
12:10:07.497;8.317;1
12:10:07.520;8.272;1
12:10:07.543;8.269;1
12:10:07.569;8.269;1
12:10:07.589;8.322;1
12:10:07.612;8.392;1
12:10:07.635;8.392;1
12:10:07.658;8.426;1
12:10:07.681;8.415;1
12:10:07.707;8.415;1
12:10:07.729;8.418;1
12:10:07.752;8.418;1
12:10:07.774;8.308;0
12:10:07.798;8.333;1
12:10:07.819;8.257;1
12:10:07.842;8.322;1
12:10:07.865;8.322;1
12:10:07.890;8.322;1
12:10:07.912;8.308;1
12:10:07.935;8.274;1
12:10:07.957;8.291;1
12:10:07.982;8.291;1
12:10:08.005;8.353;1
12:10:08.028;8.353;1
12:10:08.051;8.322;1
12:10:08.073;8.39;1
12:10:08.095;8.342;1
12:10:08.119;8.328;1
12:10:08.143;8.328;1
12:10:08.166;8.328;1
12:10:08.188;8.156;0
12:10:08.211;8.198;1
