TimeStamp;Положение дозатора газа 8402 (или ДУС-6,5 МП) ( поз. А ДГ);0 - Bad, 1 - Good
12:10:00.001;32.508;1
12:10:00.024;32.508;1
12:10:00.046;32.481;1
12:10:00.068;32.481;1
12:10:00.091;32.481;1
12:10:00.114;32.499;1
12:10:00.140;32.518;1
12:10:00.162;32.512;1
12:10:00.183;32.474;1
12:10:00.206;32.474;1
12:10:00.229;32.474;1
12:10:00.253;32.496;1
12:10:00.277;32.478;1
12:10:00.298;32.478;1
12:10:00.322;32.49;1
12:10:00.344;32.49;1
12:10:00.369;32.487;1
12:10:00.391;32.487;1
12:10:00.414;32.53;1
12:10:00.437;32.425;1
12:10:00.459;32.437;1
12:10:00.487;32.437;1
12:10:00.508;32.425;1
12:10:00.528;32.555;1
12:10:00.552;32.499;1
12:10:00.575;32.499;1
12:10:00.597;32.493;1
12:10:00.620;32.493;1
12:10:00.643;32.481;1
12:10:00.669;32.471;1
12:10:00.689;32.49;1
12:10:00.712;32.496;1
12:10:00.735;32.496;1
12:10:00.758;32.44;1
12:10:00.781;32.44;1
12:10:00.807;32.462;1
12:10:00.829;32.49;1
12:10:00.852;32.49;1
12:10:00.874;32.49;1
12:10:00.896;32.481;1
12:10:00.919;32.481;1
12:10:00.942;32.493;1
12:10:00.968;32.465;1
12:10:00.988;32.481;1
12:10:01.011;32.471;1
12:10:01.034;32.471;1
12:10:01.057;32.471;1
12:10:01.080;32.496;1
12:10:01.106;32.515;1
12:10:01.127;32.481;1
12:10:01.150;32.481;1
12:10:01.174;32.484;1
12:10:01.195;32.484;1
12:10:01.218;32.474;1
12:10:01.241;32.502;1
12:10:01.267;32.499;1
12:10:01.287;32.478;1
12:10:01.310;32.478;1
12:10:01.333;32.49;1
12:10:01.356;32.49;1
12:10:01.380;32.478;1
12:10:01.402;32.478;1
12:10:01.425;32.481;1
12:10:01.448;32.49;1
12:10:01.471;32.49;1
12:10:01.494;32.49;1
12:10:01.517;32.471;1
12:10:01.540;32.471;1
12:10:01.563;32.465;1
12:10:01.587;32.484;1
12:10:01.610;32.493;1
12:10:01.633;32.493;1
12:10:01.657;32.496;1
12:10:01.680;32.496;1
12:10:01.702;32.478;1
12:10:01.725;32.493;1
12:10:01.748;32.499;1
12:10:01.772;32.499;1
12:10:01.793;32.493;1
12:10:01.817;32.487;1
12:10:01.840;32.478;1
12:10:01.863;32.478;1
12:10:01.889;32.478;1
12:10:01.910;32.478;1
12:10:01.932;32.481;1
12:10:01.956;32.462;1
12:10:01.978;32.515;1
12:10:02.001;32.515;1
12:10:02.026;32.354;1
12:10:02.047;32.354;1
12:10:02.069;32.422;1
12:10:02.092;32.391;1
12:10:02.116;32.545;1
12:10:02.140;32.496;1
12:10:02.161;32.496;1
12:10:02.184;32.496;1
12:10:02.208;32.471;1
12:10:02.231;32.496;1
12:10:02.254;32.481;1
12:10:02.278;32.471;1
12:10:02.301;32.471;1
12:10:02.325;32.493;1
12:10:02.345;32.474;1
12:10:02.368;32.474;1
12:10:02.392;32.459;1
12:10:02.415;32.481;1
12:10:02.437;32.481;1
12:10:02.463;32.474;1
12:10:02.487;32.487;1
12:10:02.508;32.487;1
12:10:02.529;32.484;1
12:10:02.553;32.468;1
12:10:02.576;32.49;1
12:10:02.598;32.49;1
12:10:02.621;32.496;1
12:10:02.644;32.487;1
12:10:02.670;32.499;1
12:10:02.690;32.447;1
12:10:02.713;32.447;1
12:10:02.737;32.447;1
12:10:02.763;32.311;1
12:10:02.785;32.422;1
12:10:02.807;32.416;1
12:10:02.831;32.487;1
12:10:02.854;32.487;1
12:10:02.875;32.487;1
12:10:02.899;32.508;1
12:10:02.923;32.49;1
12:10:02.945;32.49;1
12:10:02.967;32.499;1
12:10:02.990;32.499;1
12:10:03.014;32.499;1
12:10:03.037;32.478;1
12:10:03.060;32.481;1
12:10:03.083;32.478;1
12:10:03.108;32.481;1
12:10:03.128;32.481;1
12:10:03.152;32.481;1
12:10:03.174;32.481;1
12:10:03.197;32.512;1
12:10:03.220;32.502;1
12:10:03.243;32.481;1
12:10:03.266;32.481;1
12:10:03.291;32.493;1
12:10:03.312;32.456;1
12:10:03.335;32.481;1
12:10:03.358;32.481;1
12:10:03.383;32.481;1
12:10:03.405;32.471;1
12:10:03.430;32.471;1
12:10:03.452;32.474;1
12:10:03.473;32.471;1
12:10:03.497;32.345;1
12:10:03.519;32.444;1
12:10:03.542;32.444;1
12:10:03.565;32.41;1
12:10:03.588;32.41;1
12:10:03.611;32.403;1
12:10:03.634;32.478;1
12:10:03.657;32.481;1
12:10:03.683;32.481;1
12:10:03.704;32.481;1
12:10:03.728;32.49;1
12:10:03.749;32.496;1
12:10:03.772;32.49;1
12:10:03.795;32.499;1
12:10:03.818;32.49;1
12:10:03.842;32.49;1
12:10:03.863;32.49;1
12:10:03.887;32.512;1
12:10:03.912;32.478;1
12:10:03.934;32.481;1
12:10:03.955;32.478;1
12:10:03.981;32.478;1
12:10:04.004;32.481;1
12:10:04.025;32.459;1
12:10:04.050;32.459;1
12:10:04.071;32.413;1
12:10:04.095;32.416;1
12:10:04.117;32.416;1
12:10:04.140;32.45;1
12:10:04.162;32.478;1
12:10:04.186;32.493;1
12:10:04.209;32.493;1
12:10:04.231;32.496;1
12:10:04.254;32.496;1
12:10:04.278;32.49;1
12:10:04.300;32.524;1
12:10:04.324;32.527;1
12:10:04.346;32.462;1
12:10:04.369;32.462;1
12:10:04.393;32.462;1
12:10:04.415;32.471;1
12:10:04.441;32.493;1
12:10:04.461;32.474;1
12:10:04.484;32.453;1
12:10:04.507;32.453;1
12:10:04.530;32.481;1
12:10:04.553;32.478;1
12:10:04.576;32.478;1
12:10:04.600;32.512;1
12:10:04.622;32.45;1
12:10:04.646;32.45;1
12:10:04.668;32.45;1
12:10:04.692;32.478;1
12:10:04.715;32.481;1
12:10:04.738;32.481;1
12:10:04.761;32.474;1
12:10:04.786;32.474;1
12:10:04.809;32.474;1
12:10:04.832;32.481;1
12:10:04.852;32.471;1
12:10:04.876;32.416;1
12:10:04.898;32.459;1
12:10:04.922;32.459;1
12:10:04.946;32.422;1
12:10:04.969;32.422;1
12:10:04.990;32.422;1
12:10:05.015;32.478;1
12:10:05.036;32.474;1
12:10:05.062;32.478;1
12:10:05.086;32.478;1
12:10:05.105;32.478;1
12:10:05.130;32.462;1
12:10:05.151;32.468;1
12:10:05.175;32.481;1
12:10:05.198;32.487;1
12:10:05.220;32.487;1
12:10:05.246;32.456;1
12:10:05.269;32.456;1
12:10:05.290;32.496;1
12:10:05.312;32.49;1
12:10:05.335;32.493;1
12:10:05.361;32.493;1
12:10:05.387;32.496;1
12:10:05.406;32.493;1
12:10:05.427;32.481;1
12:10:05.451;32.481;1
12:10:05.474;32.505;1
12:10:05.497;32.505;1
12:10:05.521;32.515;1
12:10:05.543;32.478;1
12:10:05.565;32.41;1
12:10:05.588;32.41;1
12:10:05.612;32.41;1
12:10:05.636;32.41;1
12:10:05.657;32.4;1
12:10:05.685;32.515;1
12:10:05.705;32.474;1
12:10:05.729;32.481;1
12:10:05.750;32.481;1
12:10:05.772;32.481;1
12:10:05.795;32.481;1
12:10:05.818;32.462;1
12:10:05.841;32.465;1
12:10:05.867;32.44;1
12:10:05.887;32.44;1
12:10:05.910;32.499;1
12:10:05.933;32.474;1
12:10:05.956;32.474;1
12:10:05.980;32.481;1
12:10:06.002;32.481;1
12:10:06.025;32.487;1
12:10:06.048;32.487;1
12:10:06.071;32.484;1
12:10:06.094;32.484;1
12:10:06.117;32.481;1
12:10:06.140;32.481;1
12:10:06.163;32.478;1
12:10:06.187;32.478;1
12:10:06.209;32.499;1
12:10:06.232;32.447;1
12:10:06.255;32.447;1
12:10:06.280;32.496;1
12:10:06.301;32.496;1
12:10:06.324;32.496;1
12:10:06.350;32.447;1
12:10:06.370;32.465;1
12:10:06.393;32.465;1
12:10:06.416;32.496;1
12:10:06.439;32.369;1
12:10:06.465;32.369;1
12:10:06.485;32.419;1
12:10:06.508;32.391;1
12:10:06.531;32.425;1
12:10:06.554;32.425;1
12:10:06.577;32.478;1
12:10:06.600;32.478;1
12:10:06.623;32.512;1
12:10:06.646;32.512;1
12:10:06.669;32.518;1
12:10:06.692;32.518;1
12:10:06.715;32.484;1
12:10:06.738;32.484;1
12:10:06.761;32.474;1
12:10:06.784;32.474;1
12:10:06.809;32.474;1
12:10:06.831;32.521;1
12:10:06.854;32.515;1
12:10:06.876;32.474;1
12:10:06.899;32.474;1
12:10:06.922;32.474;1
12:10:06.945;32.493;1
12:10:06.968;32.493;1
12:10:06.991;32.499;1
12:10:07.016;32.499;1
12:10:07.039;32.499;1
12:10:07.061;32.478;1
12:10:07.086;32.474;1
12:10:07.108;32.376;1
12:10:07.131;32.376;1
12:10:07.154;32.391;1
12:10:07.175;32.391;1
12:10:07.200;32.422;1
12:10:07.222;32.481;1
12:10:07.244;32.481;1
12:10:07.269;32.422;1
12:10:07.291;32.422;1
12:10:07.314;32.422;1
12:10:07.337;32.487;1
12:10:07.359;32.49;1
12:10:07.387;32.481;1
12:10:07.407;32.481;1
12:10:07.428;32.481;1
12:10:07.452;32.484;1
12:10:07.474;32.484;1
12:10:07.497;32.465;1
12:10:07.520;32.49;1
12:10:07.543;32.499;1
12:10:07.569;32.499;1
12:10:07.589;32.493;1
12:10:07.612;32.444;1
12:10:07.635;32.444;1
12:10:07.658;32.481;1
12:10:07.681;32.493;1
12:10:07.707;32.493;1
12:10:07.729;32.431;1
12:10:07.752;32.431;1
12:10:07.774;32.413;1
12:10:07.798;32.413;1
12:10:07.819;32.419;1
12:10:07.842;32.419;1
12:10:07.865;32.413;1
12:10:07.890;32.413;1
12:10:07.912;32.496;1
12:10:07.935;32.502;1
12:10:07.957;32.462;1
12:10:07.982;32.462;1
12:10:08.005;32.462;1
12:10:08.028;32.49;1
12:10:08.051;32.493;1
12:10:08.073;32.481;1
12:10:08.095;32.481;1
12:10:08.119;32.481;1
12:10:08.143;32.481;1
12:10:08.166;32.493;1
12:10:08.188;32.499;1
12:10:08.211;32.462;1
12:10:08.233;32.376;1
12:10:08.257;32.419;1
12:10:08.281;32.419;1
12:10:08.304;32.419;1
12:10:08.325;32.422;1
12:10:08.349;32.437;1
12:10:08.372;32.478;1
12:10:08.395;32.478;1
12:10:08.417;32.478;1
12:10:08.440;32.478;1
12:10:08.464;32.481;1
12:10:08.489;32.481;1
12:10:08.513;32.502;1
12:10:08.533;32.471;1
12:10:08.555;32.471;1
12:10:08.580;32.456;1
12:10:08.601;32.456;1
12:10:08.625;32.478;1
12:10:08.647;32.422;1
12:10:08.670;32.422;1
12:10:08.693;32.422;1
12:10:08.719;32.4;1
12:10:08.739;32.4;1
12:10:08.764;32.428;1
12:10:08.790;32.428;1
12:10:08.808;32.493;1
12:10:08.831;32.493;1
12:10:08.856;32.471;1
12:10:08.878;32.459;1
12:10:08.900;32.481;1
12:10:08.924;32.481;1
12:10:08.949;32.481;1
12:10:08.970;32.49;1
12:10:08.993;32.49;1
12:10:09.017;32.462;1
12:10:09.040;32.403;1
12:10:09.062;32.397;1
12:10:09.088;32.428;1
12:10:09.109;32.428;1
12:10:09.131;32.428;1
12:10:09.155;32.422;1
12:10:09.178;32.493;1
12:10:09.199;32.481;1
12:10:09.225;32.44;1
12:10:09.246;32.44;1
12:10:09.271;32.474;1
12:10:09.293;32.474;1
12:10:09.317;32.474;1
12:10:09.340;32.44;1
12:10:09.362;32.474;1
12:10:09.386;32.474;1
12:10:09.409;32.419;1
12:10:09.431;32.419;1
12:10:09.455;32.385;1
12:10:09.476;32.394;1
12:10:09.502;32.434;1
12:10:09.522;32.434;1
12:10:09.547;32.406;1
12:10:09.571;32.406;1
12:10:09.592;32.394;1
12:10:09.614;32.496;1
12:10:09.637;32.481;1
12:10:09.663;32.481;1
12:10:09.687;32.487;1
12:10:09.707;32.502;1
12:10:09.731;32.502;1
12:10:09.753;32.447;1
12:10:09.778;32.524;1
12:10:09.800;32.524;1
12:10:09.824;32.456;1
12:10:09.846;32.406;1
12:10:09.868;32.41;1
12:10:09.890;32.431;1
12:10:09.913;32.431;1
12:10:09.937;32.431;1
12:10:09.960;32.431;1
12:10:09.984;32.416;1
12:10:10.008;32.416;1
12:10:10.031;32.468;1
12:10:10.051;32.468;1
12:10:10.074;32.478;1
12:10:10.098;32.478;1
12:10:10.123;32.484;1
12:10:10.145;32.471;1
12:10:10.167;32.397;1
12:10:10.189;32.422;1
12:10:10.212;32.422;1
12:10:10.235;32.422;1
12:10:10.260;32.406;1
12:10:10.283;32.391;1
12:10:10.303;32.419;1
12:10:10.326;32.428;1
12:10:10.349;32.428;1
12:10:10.372;32.428;1
12:10:10.395;32.425;1
12:10:10.418;32.471;1
12:10:10.441;32.471;1
12:10:10.464;32.45;1
12:10:10.487;32.45;1
12:10:10.510;32.49;1
12:10:10.533;32.332;1
12:10:10.556;32.332;1
12:10:10.580;32.431;1
12:10:10.602;32.437;1
12:10:10.628;32.437;1
12:10:10.650;32.428;1
12:10:10.671;32.397;1
12:10:10.695;32.397;1
12:10:10.719;32.444;1
12:10:10.740;32.41;1
12:10:10.763;32.41;1
12:10:10.786;32.41;1
12:10:10.810;32.459;1
12:10:10.833;32.481;1
12:10:10.855;32.444;1
12:10:10.880;32.444;1
12:10:10.901;32.444;1
12:10:10.924;32.459;1
12:10:10.947;32.348;1
12:10:10.972;32.44;1
12:10:10.994;32.44;1
12:10:11.017;32.422;1
12:10:11.039;32.406;1
12:10:11.065;32.406;1
12:10:11.088;32.45;1
12:10:11.110;32.403;1
12:10:11.131;32.403;1
12:10:11.155;32.428;1
12:10:11.179;32.502;1
12:10:11.200;32.502;1
12:10:11.226;32.527;1
12:10:11.248;32.527;1
12:10:11.270;32.478;1
12:10:11.294;32.366;1
12:10:11.317;32.431;1
12:10:11.338;32.431;1
12:10:11.361;32.447;1
12:10:11.385;32.425;1
12:10:11.407;32.403;1
12:10:11.430;32.428;1
12:10:11.453;32.428;1
12:10:11.477;32.428;1
12:10:11.499;32.437;1
12:10:11.523;32.428;1
12:10:11.545;32.413;1
12:10:11.569;32.431;1
12:10:11.592;32.431;1
12:10:11.614;32.431;1
12:10:11.640;32.406;1
12:10:11.662;32.437;1
12:10:11.684;32.416;1
12:10:11.706;32.425;1
12:10:11.729;32.425;1
12:10:11.753;32.425;1
12:10:11.775;32.434;1
12:10:11.798;32.499;1
12:10:11.822;32.462;1
12:10:11.844;32.481;1
12:10:11.869;32.481;1
12:10:11.891;32.481;1
12:10:11.914;32.493;1
12:10:11.937;32.366;1
12:10:11.959;32.425;1
12:10:11.987;32.41;1
12:10:12.007;32.41;1
12:10:12.030;32.406;1
12:10:12.052;32.406;1
12:10:12.074;32.406;1
12:10:12.097;32.434;1
12:10:12.120;32.419;1
12:10:12.143;32.422;1
12:10:12.169;32.422;1
12:10:12.189;32.428;1
12:10:12.212;32.44;1
12:10:12.235;32.44;1
12:10:12.258;32.422;1
12:10:12.284;32.403;1
12:10:12.306;32.403;1
12:10:12.329;32.478;1
12:10:12.351;32.478;1
12:10:12.375;32.487;1
12:10:12.398;32.499;1
12:10:12.422;32.481;1
12:10:12.444;32.481;1
12:10:12.466;32.332;1
12:10:12.488;32.428;1
12:10:12.511;32.419;1
12:10:12.535;32.419;1
12:10:12.558;32.391;1
12:10:12.583;32.391;1
12:10:12.604;32.413;1
12:10:12.628;32.413;1
12:10:12.650;32.413;1
12:10:12.674;32.394;1
12:10:12.695;32.419;1
12:10:12.719;32.419;1
12:10:12.741;32.416;1
12:10:12.767;32.413;1
12:10:12.789;32.41;1
12:10:12.810;32.41;1
12:10:12.834;32.456;1
12:10:12.858;32.456;1
12:10:12.884;32.41;1
12:10:12.905;32.41;1
12:10:12.925;32.425;1
12:10:12.948;32.406;1
12:10:12.971;32.471;1
12:10:12.996;32.471;1
12:10:13.020;32.481;1
12:10:13.041;32.471;1
12:10:13.065;32.508;1
12:10:13.086;32.376;1
12:10:13.112;32.376;1
12:10:13.134;32.422;1
12:10:13.156;32.422;1
12:10:13.180;32.425;1
12:10:13.202;32.416;1
12:10:13.226;32.422;1
12:10:13.249;32.422;1
12:10:13.272;32.428;1
12:10:13.295;32.428;1
12:10:13.317;32.422;1
12:10:13.339;32.413;1
12:10:13.362;32.4;1
12:10:13.386;32.403;1
12:10:13.409;32.403;1
12:10:13.431;32.403;1
12:10:13.455;32.425;1
12:10:13.479;32.413;1
12:10:13.502;32.403;1
12:10:13.525;32.403;1
12:10:13.547;32.403;1
12:10:13.569;32.403;1
12:10:13.594;32.4;1
12:10:13.617;32.394;1
12:10:13.641;32.425;1
12:10:13.661;32.388;1
12:10:13.686;32.388;1
12:10:13.707;32.413;1
12:10:13.730;32.413;1
12:10:13.754;32.478;1
12:10:13.777;32.49;1
12:10:13.799;32.428;1
12:10:13.824;32.428;1
12:10:13.845;32.428;1
12:10:13.869;32.382;1
12:10:13.893;32.416;1
12:10:13.914;32.416;1
12:10:13.938;32.44;1
12:10:13.961;32.44;1
12:10:13.984;32.416;1
12:10:14.009;32.425;1
12:10:14.031;32.425;1
12:10:14.053;32.425;1
12:10:14.075;32.425;1
12:10:14.101;32.419;1
12:10:14.122;32.419;1
12:10:14.147;32.425;1
12:10:14.167;32.44;1
12:10:14.191;32.44;1
12:10:14.215;32.394;1
12:10:14.239;32.512;1
12:10:14.261;32.512;1
12:10:14.284;32.474;1
12:10:14.305;32.471;1
12:10:14.328;32.471;1
12:10:14.352;32.369;1
12:10:14.374;32.4;1
12:10:14.397;32.4;1
12:10:14.421;32.422;1
12:10:14.446;32.394;1
12:10:14.468;32.444;1
12:10:14.491;32.444;1
12:10:14.513;32.425;1
12:10:14.535;32.425;1
12:10:14.561;32.41;1
12:10:14.584;32.428;1
12:10:14.607;32.403;1
12:10:14.630;32.403;1
12:10:14.651;32.456;1
12:10:14.675;32.456;1
12:10:14.696;32.4;1
12:10:14.722;32.428;1
12:10:14.743;32.403;1
12:10:14.766;32.403;1
12:10:14.790;32.422;1
12:10:14.811;32.422;1
12:10:14.834;32.425;1
12:10:14.857;32.382;1
12:10:14.883;32.394;1
12:10:14.904;32.422;1
12:10:14.926;32.422;1
12:10:14.949;32.422;1
12:10:14.973;32.44;1
12:10:14.995;32.413;1
12:10:15.020;32.425;1
12:10:15.043;32.453;1
12:10:15.065;32.453;1
12:10:15.087;32.44;1
12:10:15.111;32.44;1
12:10:15.135;32.413;1
12:10:15.157;32.406;1
12:10:15.181;32.496;1
12:10:15.205;32.496;1
12:10:15.226;32.496;1
12:10:15.248;32.481;1
12:10:15.272;32.502;1
12:10:15.295;32.376;1
12:10:15.319;32.428;1
12:10:15.342;32.385;1
12:10:15.365;32.385;1
12:10:15.390;32.385;1
12:10:15.411;32.425;1
12:10:15.434;32.422;1
12:10:15.457;32.413;1
12:10:15.480;32.444;1
12:10:15.504;32.444;1
12:10:15.525;32.422;1
12:10:15.547;32.431;1
12:10:15.571;32.431;1
12:10:15.593;32.41;1
12:10:15.617;32.425;1
12:10:15.639;32.425;1
12:10:15.662;32.425;1
12:10:15.687;32.391;1
12:10:15.711;32.391;1
12:10:15.732;32.416;1
12:10:15.756;32.416;1
12:10:15.779;32.416;1
12:10:15.803;32.425;1
12:10:15.826;32.428;1
12:10:15.849;32.428;1
12:10:15.869;32.428;1
12:10:15.894;32.413;1
12:10:15.916;32.413;1
12:10:15.940;32.444;1
12:10:15.963;32.428;1
12:10:15.988;32.428;1
12:10:16.009;32.474;1
12:10:16.032;32.487;1
12:10:16.055;32.487;1
12:10:16.077;32.487;1
12:10:16.100;32.471;1
12:10:16.123;32.471;1
12:10:16.146;32.406;1
12:10:16.169;32.422;1
12:10:16.192;32.422;1
12:10:16.215;32.425;1
12:10:16.238;32.45;1
12:10:16.261;32.45;1
12:10:16.285;32.45;1
12:10:16.308;32.45;1
12:10:16.331;32.394;1
12:10:16.353;32.394;1
12:10:16.376;32.428;1
12:10:16.401;32.4;1
12:10:16.425;32.4;1
12:10:16.446;32.397;1
12:10:16.470;32.397;1
12:10:16.492;32.397;1
12:10:16.514;32.49;1
12:10:16.539;32.474;1
12:10:16.561;32.481;1
12:10:16.587;32.481;1
12:10:16.607;32.453;1
12:10:16.630;32.453;1
12:10:16.653;32.44;1
12:10:16.677;32.4;1
12:10:16.699;32.428;1
12:10:16.722;32.428;1
12:10:16.744;32.388;1
12:10:16.767;32.391;1
12:10:16.790;32.391;1
12:10:16.813;32.403;1
12:10:16.836;32.4;1
12:10:16.859;32.425;1
12:10:16.883;32.425;1
12:10:16.904;32.41;1
12:10:16.927;32.428;1
12:10:16.950;32.447;1
12:10:16.973;32.385;1
12:10:16.996;32.385;1
12:10:17.019;32.419;1
12:10:17.042;32.419;1
12:10:17.065;32.434;1
12:10:17.089;32.434;1
12:10:17.111;32.493;1
12:10:17.134;32.493;1
12:10:17.157;32.49;1
12:10:17.182;32.49;1
12:10:17.205;32.49;1
12:10:17.228;32.444;1
12:10:17.249;32.428;1
12:10:17.273;32.437;1
12:10:17.296;32.431;1
12:10:17.318;32.431;1
12:10:17.342;32.431;1
12:10:17.364;32.422;1
12:10:17.387;32.413;1
12:10:17.413;32.453;1
12:10:17.435;32.45;1
12:10:17.456;32.45;1
12:10:17.481;32.444;1
12:10:17.503;32.444;1
12:10:17.525;32.425;1
12:10:17.548;32.403;1
12:10:17.571;32.403;1
12:10:17.594;32.416;1
12:10:17.617;32.416;1
12:10:17.642;32.496;1
12:10:17.664;32.474;1
12:10:17.686;32.459;1
12:10:17.709;32.459;1
12:10:17.732;32.481;1
12:10:17.755;32.481;1
12:10:17.780;32.481;1
12:10:17.801;32.44;1
12:10:17.824;32.425;1
12:10:17.847;32.425;1
12:10:17.870;32.422;1
12:10:17.894;32.422;1
12:10:17.917;32.406;1
12:10:17.940;32.382;1
12:10:17.963;32.413;1
12:10:17.988;32.413;1
12:10:18.008;32.413;1
12:10:18.031;32.413;1
12:10:18.056;32.416;1
12:10:18.079;32.425;1
12:10:18.103;32.487;1
12:10:18.123;32.481;1
12:10:18.148;32.481;1
12:10:18.169;32.481;1
12:10:18.194;32.493;1
12:10:18.216;32.474;1
12:10:18.238;32.366;1
12:10:18.264;32.413;1
12:10:18.284;32.413;1
12:10:18.307;32.422;1
12:10:18.331;32.422;1
12:10:18.354;32.385;1
12:10:18.378;32.416;1
12:10:18.401;32.434;1
12:10:18.423;32.434;1
12:10:18.445;32.391;1
12:10:18.471;32.391;1
12:10:18.492;32.431;1
12:10:18.514;32.428;1
12:10:18.540;32.419;1
12:10:18.561;32.419;1
12:10:18.585;32.428;1
12:10:18.608;32.444;1
12:10:18.629;32.444;1
12:10:18.652;32.382;1
12:10:18.675;32.474;1
12:10:18.698;32.474;1
12:10:18.722;32.505;1
12:10:18.745;32.481;1
12:10:18.767;32.493;1
12:10:18.791;32.493;1
12:10:18.815;32.425;1
12:10:18.836;32.425;1
12:10:18.862;32.394;1
12:10:18.884;32.403;1
12:10:18.908;32.422;1
12:10:18.928;32.369;1
12:10:18.953;32.369;1
12:10:18.974;32.403;1
12:10:18.998;32.403;1
12:10:19.022;32.422;1
12:10:19.043;32.403;1
12:10:19.069;32.431;1
12:10:19.089;32.41;1
12:10:19.112;32.41;1
12:10:19.138;32.41;1
12:10:19.158;32.403;1
12:10:19.184;32.589;1
12:10:19.204;32.481;1
12:10:19.227;32.481;1
12:10:19.250;32.478;1
12:10:19.275;32.478;1
12:10:19.296;32.518;1
12:10:19.322;32.425;1
12:10:19.342;32.422;1
12:10:19.368;32.41;1
12:10:19.388;32.41;1
12:10:19.412;32.41;1
12:10:19.435;32.431;1
12:10:19.459;32.428;1
12:10:19.483;32.419;1
12:10:19.506;32.419;1
12:10:19.528;32.428;1
12:10:19.550;32.428;1
12:10:19.574;32.391;1
12:10:19.595;32.413;1
12:10:19.619;32.425;1
12:10:19.641;32.425;1
12:10:19.664;32.416;1
12:10:19.689;32.416;1
12:10:19.710;32.487;1
12:10:19.733;32.474;1
12:10:19.756;32.468;1
12:10:19.781;32.468;1
12:10:19.803;32.474;1
12:10:19.825;32.422;1
12:10:19.850;32.422;1
12:10:19.871;32.422;1
12:10:19.894;32.413;1
12:10:19.917;32.425;1
12:10:19.940;32.425;1
12:10:19.963;32.419;1
12:10:19.986;32.419;1
12:10:20.010;32.431;1
12:10:20.034;32.416;1
12:10:20.056;32.428;1
12:10:20.084;32.425;1
12:10:20.104;32.425;1
12:10:20.124;32.425;1
12:10:20.149;32.403;1
12:10:20.171;32.425;1
12:10:20.193;32.413;1
12:10:20.216;32.481;1
12:10:20.242;32.481;1
12:10:20.262;32.481;1
12:10:20.288;32.521;1
12:10:20.310;32.478;1
12:10:20.331;32.45;1
12:10:20.355;32.422;1
12:10:20.379;32.422;1
12:10:20.400;32.413;1
12:10:20.423;32.413;1
12:10:20.447;32.403;1
12:10:20.469;32.4;1
12:10:20.492;32.4;1
12:10:20.515;32.4;1
12:10:20.540;32.4;1
12:10:20.562;32.4;1
12:10:20.587;32.428;1
12:10:20.607;32.456;1
12:10:20.630;32.413;1
12:10:20.653;32.413;1
12:10:20.676;32.397;1
12:10:20.699;32.397;1
12:10:20.722;32.444;1
12:10:20.745;32.478;1
12:10:20.768;32.478;1
12:10:20.791;32.521;1
12:10:20.815;32.521;1
12:10:20.839;32.49;1
12:10:20.860;32.366;1
12:10:20.886;32.428;1
12:10:20.907;32.394;1
12:10:20.930;32.394;1
12:10:20.954;32.394;1
12:10:20.977;32.425;1
12:10:20.999;32.413;1
12:10:21.022;32.413;1
12:10:21.044;32.431;1
12:10:21.068;32.431;1
12:10:21.091;32.431;1
12:10:21.113;32.425;1
12:10:21.136;32.425;1
12:10:21.159;32.413;1
12:10:21.182;32.425;1
12:10:21.206;32.425;1
12:10:21.228;32.425;1
12:10:21.251;32.428;1
12:10:21.274;32.406;1
12:10:21.300;32.474;1
12:10:21.320;32.478;1
12:10:21.345;32.478;1
12:10:21.369;32.474;1
12:10:21.390;32.376;1
12:10:21.413;32.376;1
12:10:21.435;32.4;1
12:10:21.459;32.416;1
12:10:21.483;32.416;1
12:10:21.507;32.406;1
12:10:21.528;32.406;1
12:10:21.550;32.425;1
12:10:21.573;32.391;1
12:10:21.597;32.425;1
12:10:21.621;32.425;1
12:10:21.643;32.434;1
12:10:21.665;32.447;1
12:10:21.688;32.447;1
12:10:21.712;32.471;1
12:10:21.735;32.49;1
12:10:21.757;32.49;1
12:10:21.784;32.462;1
12:10:21.803;32.462;1
12:10:21.829;32.481;1
12:10:21.850;32.49;1
12:10:21.873;32.413;1
12:10:21.896;32.413;1
12:10:21.920;32.413;1
12:10:21.942;32.413;1
12:10:21.964;32.425;1
12:10:21.988;32.394;1
12:10:22.012;32.44;1
12:10:22.034;32.403;1
12:10:22.057;32.403;1
12:10:22.083;32.403;1
12:10:22.105;32.422;1
12:10:22.126;32.425;1
12:10:22.150;32.385;1
12:10:22.172;32.425;1
12:10:22.194;32.425;1
12:10:22.217;32.425;1
12:10:22.240;32.425;1
12:10:22.263;32.391;1
12:10:22.287;32.422;1
12:10:22.309;32.493;1
12:10:22.332;32.493;1
12:10:22.355;32.49;1
12:10:22.381;32.49;1
12:10:22.404;32.474;1
12:10:22.425;32.478;1
12:10:22.447;32.416;1
12:10:22.471;32.416;1
12:10:22.495;32.419;1
12:10:22.517;32.437;1
12:10:22.540;32.397;1
12:10:22.563;32.422;1
12:10:22.587;32.422;1
12:10:22.609;32.413;1
12:10:22.632;32.447;1
12:10:22.655;32.447;1
12:10:22.678;32.428;1
12:10:22.701;32.406;1
12:10:22.724;32.406;1
12:10:22.749;32.453;1
