TimeStamp;Положение лопаток НА КВД. (поз. A2) ;0 - Bad, 1 - Good
12:10:00.001;16.139;1
12:10:00.024;16.139;1
12:10:00.046;15.876;0
12:10:00.068;15.876;1
12:10:00.091;15.758;0
12:10:00.114;15.758;0
12:10:00.140;15.793;1
12:10:00.162;15.843;1
12:10:00.183;15.983;1
12:10:00.206;15.983;1
12:10:00.229;15.988;1
12:10:00.253;15.906;1
12:10:00.277;15.906;1
12:10:00.298;15.961;1
12:10:00.322;16.019;1
12:10:00.344;16.126;1
12:10:00.369;16.128;1
12:10:00.391;16.128;1
12:10:00.414;16.128;1
12:10:00.437;15.964;1
12:10:00.459;15.749;0
12:10:00.487;15.922;0
12:10:00.508;15.961;1
12:10:00.528;15.961;1
12:10:00.552;15.997;1
12:10:00.575;15.997;1
12:10:00.597;15.878;1
12:10:00.620;16.035;1
12:10:00.643;15.911;1
12:10:00.669;15.911;1
12:10:00.689;16.156;0
12:10:00.712;15.876;0
12:10:00.735;15.876;1
12:10:00.758;16.013;1
12:10:00.781;15.876;1
12:10:00.807;15.876;1
12:10:00.829;16.041;1
12:10:00.852;15.889;1
12:10:00.874;15.889;1
12:10:00.896;15.999;1
12:10:00.919;16.041;1
12:10:00.942;16.041;1
12:10:00.968;16.076;1
12:10:00.988;16.046;1
12:10:01.011;16.035;1
12:10:01.034;16.035;1
12:10:01.057;15.961;1
12:10:01.080;15.933;1
12:10:01.106;15.933;1
12:10:01.127;15.953;1
12:10:01.150;15.953;1
12:10:01.174;16.016;1
12:10:01.195;15.961;1
12:10:01.218;15.986;1
12:10:01.241;15.986;1
12:10:01.267;16.101;1
12:10:01.287;16.002;1
12:10:01.310;16.002;1
12:10:01.333;15.818;0
12:10:01.356;15.818;1
12:10:01.380;15.818;1
12:10:01.402;15.873;1
12:10:01.425;15.848;1
12:10:01.448;15.906;1
12:10:01.471;15.788;1
12:10:01.494;15.788;1
12:10:01.517;15.788;1
12:10:01.540;15.788;1
12:10:01.563;16.087;0
12:10:01.587;15.991;1
12:10:01.610;16.038;1
12:10:01.633;16.095;1
12:10:01.657;16.095;1
12:10:01.680;16.095;1
12:10:01.702;15.991;1
12:10:01.725;16.005;1
12:10:01.748;15.909;1
12:10:01.772;15.851;1
12:10:01.793;15.851;1
12:10:01.817;16.131;0
12:10:01.840;16.186;1
12:10:01.863;16.186;1
12:10:01.889;16.079;1
12:10:01.910;15.95;1
12:10:01.932;15.95;1
12:10:01.956;15.939;1
12:10:01.978;15.966;1
12:10:02.001;15.966;1
12:10:02.026;15.821;1
12:10:02.047;15.873;1
12:10:02.069;15.873;1
12:10:02.092;15.964;1
12:10:02.116;15.958;1
12:10:02.140;15.95;1
12:10:02.161;16.161;0
12:10:02.184;16.161;1
12:10:02.208;16.073;1
12:10:02.231;16.073;1
