TimeStamp;Температура газов за ТНД максимальная (Расчетная);0 - Bad, 1 - Good
12:10:00.001;439.119;1
12:10:00.024;439.119;1
12:10:00.046;439.119;1
12:10:00.068;439.107;1
12:10:00.091;439.107;1
12:10:00.114;439.107;1
12:10:00.140;439.107;1
12:10:00.162;439.107;1
12:10:00.183;439.069;1
12:10:00.206;439.044;1
12:10:00.229;439.044;1
12:10:00.253;439.032;1
12:10:00.277;439.044;1
12:10:00.298;439.044;1
12:10:00.322;439.044;1
12:10:00.344;439.044;1
12:10:00.369;439.069;1
12:10:00.391;439.069;1
12:10:00.414;439.069;1
12:10:00.437;439.069;1
12:10:00.459;439.069;1
12:10:00.487;439.069;1
12:10:00.508;439.069;1
12:10:00.528;439.069;1
12:10:00.552;439.069;1
12:10:00.575;439.069;1
12:10:00.597;439.069;1
12:10:00.620;439.069;1
12:10:00.643;439.094;1
12:10:00.669;439.094;1
12:10:00.689;439.094;1
12:10:00.712;439.094;1
12:10:00.735;439.094;1
12:10:00.758;439.094;1
12:10:00.781;439.082;1
12:10:00.807;439.082;1
12:10:00.829;439.082;1
12:10:00.852;439.094;1
12:10:00.874;439.094;1
12:10:00.896;439.094;1
12:10:00.919;439.094;1
12:10:00.942;439.082;1
12:10:00.968;439.082;1
12:10:00.988;439.094;1
12:10:01.011;439.094;1
12:10:01.034;439.094;1
12:10:01.057;439.094;1
12:10:01.080;439.094;1
12:10:01.106;439.094;1
12:10:01.127;439.094;1
12:10:01.150;439.094;1
12:10:01.174;439.094;1
12:10:01.195;439.094;1
12:10:01.218;439.094;1
12:10:01.241;439.119;1
12:10:01.267;439.119;1
12:10:01.287;439.119;1
12:10:01.310;439.119;1
12:10:01.333;439.119;1
12:10:01.356;439.144;1
12:10:01.380;439.144;1
12:10:01.402;439.169;1
12:10:01.425;439.194;1
12:10:01.448;439.194;1
12:10:01.471;439.194;1
12:10:01.494;439.194;1
12:10:01.517;439.194;1
12:10:01.540;439.194;1
12:10:01.563;439.194;1
12:10:01.587;439.194;1
12:10:01.610;439.207;1
12:10:01.633;439.207;1
12:10:01.657;439.207;1
12:10:01.680;439.207;1
12:10:01.702;439.207;1
12:10:01.725;439.207;1
12:10:01.748;439.207;1
12:10:01.772;439.207;1
12:10:01.793;439.207;1
12:10:01.817;439.207;1
12:10:01.840;439.219;1
12:10:01.863;439.219;1
12:10:01.889;439.219;1
12:10:01.910;439.219;1
12:10:01.932;439.219;1
12:10:01.956;439.219;1
12:10:01.978;439.219;1
12:10:02.001;439.232;1
12:10:02.026;439.232;1
12:10:02.047;439.232;1
12:10:02.069;439.257;1
12:10:02.092;439.257;1
12:10:02.116;439.257;1
12:10:02.140;439.257;1
12:10:02.161;439.257;1
12:10:02.184;439.269;1
12:10:02.208;439.269;1
12:10:02.231;439.269;1
12:10:02.254;439.269;1
12:10:02.278;439.269;1
12:10:02.301;439.269;1
12:10:02.325;439.269;1
12:10:02.345;439.269;1
12:10:02.368;439.269;1
12:10:02.392;439.269;1
12:10:02.415;439.269;1
12:10:02.437;439.244;1
12:10:02.463;439.232;1
12:10:02.487;439.232;1
12:10:02.508;439.232;1
12:10:02.529;439.232;1
12:10:02.553;439.232;1
12:10:02.576;439.219;1
12:10:02.598;439.232;1
12:10:02.621;439.232;1
12:10:02.644;439.232;1
12:10:02.670;439.232;1
12:10:02.690;439.232;1
12:10:02.713;439.232;1
12:10:02.737;439.232;1
12:10:02.763;439.232;1
12:10:02.785;439.232;1
12:10:02.807;439.219;1
12:10:02.831;439.219;1
12:10:02.854;439.219;1
12:10:02.875;439.219;1
12:10:02.899;439.219;1
12:10:02.923;439.219;1
12:10:02.945;439.219;1
12:10:02.967;439.219;1
12:10:02.990;439.219;1
12:10:03.014;439.219;1
12:10:03.037;439.219;1
12:10:03.060;439.232;1
12:10:03.083;439.232;1
12:10:03.108;439.232;1
12:10:03.128;439.232;1
12:10:03.152;439.232;1
12:10:03.174;439.257;1
12:10:03.197;439.257;1
12:10:03.220;439.257;1
12:10:03.243;439.294;1
12:10:03.266;439.294;1
12:10:03.291;439.294;1
12:10:03.312;439.307;1
12:10:03.335;439.307;1
12:10:03.358;439.307;1
12:10:03.383;439.307;1
12:10:03.405;439.307;1
12:10:03.430;439.332;1
12:10:03.452;439.332;1
12:10:03.473;439.332;1
12:10:03.497;439.332;1
12:10:03.519;439.332;1
12:10:03.542;439.332;1
12:10:03.565;439.332;1
12:10:03.588;439.332;1
12:10:03.611;439.332;1
12:10:03.634;439.294;1
12:10:03.657;439.307;1
12:10:03.683;439.307;1
12:10:03.704;439.307;1
12:10:03.728;439.307;1
12:10:03.749;439.307;1
12:10:03.772;439.307;1
12:10:03.795;439.307;1
12:10:03.818;439.344;1
12:10:03.842;439.357;1
12:10:03.863;439.357;1
12:10:03.887;439.344;1
12:10:03.912;439.344;1
12:10:03.934;439.344;1
12:10:03.955;439.344;1
12:10:03.981;439.382;1
12:10:04.004;439.37;1
12:10:04.025;439.37;1
12:10:04.050;439.37;1
12:10:04.071;439.37;1
12:10:04.095;439.37;1
12:10:04.117;439.37;1
12:10:04.140;439.37;1
12:10:04.162;439.37;1
12:10:04.186;439.37;1
12:10:04.209;439.37;1
12:10:04.231;439.37;1
12:10:04.254;439.395;1
12:10:04.278;439.395;1
12:10:04.300;439.395;1
12:10:04.324;439.395;1
12:10:04.346;439.395;1
12:10:04.369;439.382;1
12:10:04.393;439.382;1
12:10:04.415;439.382;1
12:10:04.441;439.407;1
12:10:04.461;439.407;1
12:10:04.484;439.407;1
12:10:04.507;439.407;1
12:10:04.530;439.42;1
12:10:04.553;439.42;1
12:10:04.576;439.382;1
12:10:04.600;439.382;1
12:10:04.622;439.382;1
12:10:04.646;439.382;1
12:10:04.668;439.382;1
12:10:04.692;439.382;1
12:10:04.715;439.382;1
12:10:04.738;439.382;1
12:10:04.761;439.382;1
12:10:04.786;439.382;1
12:10:04.809;439.382;1
12:10:04.832;439.382;1
12:10:04.852;439.37;1
12:10:04.876;439.37;1
12:10:04.898;439.37;1
12:10:04.922;439.37;1
12:10:04.946;439.37;1
12:10:04.969;439.345;1
12:10:04.990;439.345;1
12:10:05.015;439.332;1
12:10:05.036;439.32;1
12:10:05.062;439.332;1
12:10:05.086;439.332;1
12:10:05.105;439.332;1
12:10:05.130;439.332;1
12:10:05.151;439.332;1
12:10:05.175;439.307;1
12:10:05.198;439.332;1
12:10:05.220;439.332;1
12:10:05.246;439.332;1
12:10:05.269;439.332;1
12:10:05.290;439.332;1
12:10:05.312;439.332;1
12:10:05.335;439.332;1
12:10:05.361;439.332;1
12:10:05.387;439.332;1
12:10:05.406;439.332;1
12:10:05.427;439.307;1
12:10:05.451;439.307;1
12:10:05.474;439.307;1
12:10:05.497;439.307;1
12:10:05.521;439.307;1
12:10:05.543;439.307;1
12:10:05.565;439.307;1
12:10:05.588;439.307;1
12:10:05.612;439.307;1
12:10:05.636;439.307;1
12:10:05.657;439.282;1
12:10:05.685;439.282;1
12:10:05.705;439.282;1
12:10:05.729;439.282;1
12:10:05.750;439.282;1
12:10:05.772;439.294;1
12:10:05.795;439.294;1
12:10:05.818;439.294;1
12:10:05.841;439.307;1
12:10:05.867;439.307;1
12:10:05.887;439.307;1
12:10:05.910;439.307;1
12:10:05.933;439.307;1
12:10:05.956;439.307;1
12:10:05.980;439.307;1
12:10:06.002;439.307;1
12:10:06.025;439.294;1
12:10:06.048;439.294;1
12:10:06.071;439.294;1
12:10:06.094;439.294;1
12:10:06.117;439.294;1
12:10:06.140;439.294;1
12:10:06.163;439.294;1
12:10:06.187;439.294;1
12:10:06.209;439.345;1
12:10:06.232;439.395;1
12:10:06.255;439.395;1
12:10:06.280;439.395;1
12:10:06.301;439.395;1
12:10:06.324;439.395;1
12:10:06.350;439.395;1
12:10:06.370;439.407;1
12:10:06.393;439.407;1
12:10:06.416;439.407;1
12:10:06.439;439.42;1
12:10:06.465;439.42;1
12:10:06.485;439.42;1
12:10:06.508;439.42;1
12:10:06.531;439.42;1
12:10:06.554;439.42;1
12:10:06.577;439.42;1
12:10:06.600;439.42;1
12:10:06.623;439.432;1
12:10:06.646;439.432;1
12:10:06.669;439.407;1
12:10:06.692;439.407;1
12:10:06.715;439.407;1
12:10:06.738;439.407;1
12:10:06.761;439.407;1
12:10:06.784;439.407;1
12:10:06.809;439.395;1
12:10:06.831;439.395;1
12:10:06.854;439.382;1
12:10:06.876;439.382;1
12:10:06.899;439.382;1
12:10:06.922;439.382;1
12:10:06.945;439.382;1
12:10:06.968;439.382;1
12:10:06.991;439.357;1
12:10:07.016;439.37;1
12:10:07.039;439.37;1
12:10:07.061;439.37;1
12:10:07.086;439.37;1
12:10:07.108;439.37;1
12:10:07.131;439.37;1
12:10:07.154;439.37;1
12:10:07.175;439.37;1
12:10:07.200;439.37;1
12:10:07.222;439.357;1
12:10:07.244;439.357;1
12:10:07.269;439.357;1
12:10:07.291;439.357;1
12:10:07.314;439.357;1
12:10:07.337;439.357;1
12:10:07.359;439.357;1
12:10:07.387;439.357;1
12:10:07.407;439.357;1
12:10:07.428;439.345;1
12:10:07.452;439.345;1
12:10:07.474;439.345;1
12:10:07.497;439.345;1
12:10:07.520;439.345;1
12:10:07.543;439.345;1
12:10:07.569;439.357;1
12:10:07.589;439.37;1
12:10:07.612;439.37;1
12:10:07.635;439.37;1
12:10:07.658;439.37;1
12:10:07.681;439.37;1
12:10:07.707;439.37;1
12:10:07.729;439.37;1
12:10:07.752;439.37;1
12:10:07.774;439.37;1
12:10:07.798;439.37;1
12:10:07.819;439.332;1
12:10:07.842;439.357;1
12:10:07.865;439.357;1
12:10:07.890;439.357;1
12:10:07.912;439.357;1
12:10:07.935;439.357;1
12:10:07.957;439.357;1
12:10:07.982;439.357;1
12:10:08.005;439.357;1
12:10:08.028;439.37;1
12:10:08.051;439.395;1
12:10:08.073;439.395;1
12:10:08.095;439.395;1
12:10:08.119;439.395;1
12:10:08.143;439.395;1
12:10:08.166;439.395;1
12:10:08.188;439.395;1
12:10:08.211;439.407;1
12:10:08.233;439.42;1
12:10:08.257;439.42;1
12:10:08.281;439.42;1
12:10:08.304;439.42;1
12:10:08.325;439.42;1
12:10:08.349;439.42;1
12:10:08.372;439.42;1
12:10:08.395;439.42;1
12:10:08.417;439.42;1
12:10:08.440;439.407;1
12:10:08.464;439.407;1
12:10:08.489;439.407;1
12:10:08.513;439.407;1
12:10:08.533;439.407;1
12:10:08.555;439.407;1
12:10:08.580;439.407;1
12:10:08.601;439.432;1
12:10:08.625;439.432;1
