TimeStamp;Температура масла на входе в двигатель за фильтром (поз. Т607);0 - Bad, 1 - Good
12:10:00.001;24.361;1
12:10:00.024;24.361;1
12:10:00.046;24.361;1
12:10:00.068;24.361;1
12:10:00.091;24.361;1
12:10:00.114;24.361;1
12:10:00.140;24.361;1
12:10:00.162;24.361;1
12:10:00.183;24.361;1
12:10:00.206;24.361;1
12:10:00.229;24.361;1
12:10:00.253;24.361;1
12:10:00.277;24.361;1
12:10:00.298;24.361;1
12:10:00.322;24.338;1
12:10:00.344;24.338;1
12:10:00.369;24.338;1
12:10:00.391;24.338;1
12:10:00.414;24.338;1
12:10:00.437;24.338;1
12:10:00.459;24.338;1
12:10:00.487;24.338;1
12:10:00.508;24.338;1
12:10:00.528;24.338;1
12:10:00.552;24.338;1
12:10:00.575;24.338;1
12:10:00.597;24.338;1
12:10:00.620;24.338;1
12:10:00.643;24.385;1
12:10:00.669;24.385;1
12:10:00.689;24.385;1
12:10:00.712;24.385;1
12:10:00.735;24.385;1
12:10:00.758;24.385;1
12:10:00.781;24.385;1
12:10:00.807;24.385;1
12:10:00.829;24.385;1
12:10:00.852;24.385;1
12:10:00.874;24.385;1
12:10:00.896;24.385;1
12:10:00.919;24.385;1
12:10:00.942;24.385;1
12:10:00.968;24.385;1
12:10:00.988;24.385;1
12:10:01.011;24.385;1
12:10:01.034;24.385;1
12:10:01.057;24.385;1
12:10:01.080;24.385;1
12:10:01.106;24.385;1
12:10:01.127;24.385;1
12:10:01.150;24.385;1
12:10:01.174;24.385;1
12:10:01.195;24.385;1
12:10:01.218;24.385;1
12:10:01.241;24.385;1
12:10:01.267;24.385;1
12:10:01.287;24.454;1
12:10:01.310;24.454;1
12:10:01.333;24.454;1
12:10:01.356;24.454;1
12:10:01.380;24.454;1
12:10:01.402;24.454;1
12:10:01.425;24.454;1
12:10:01.448;24.454;1
12:10:01.471;24.454;1
12:10:01.494;24.454;1
12:10:01.517;24.454;1
12:10:01.540;24.454;1
12:10:01.563;24.454;1
12:10:01.587;24.454;1
12:10:01.610;24.454;1
12:10:01.633;24.338;1
12:10:01.657;24.338;1
12:10:01.680;24.338;1
12:10:01.702;24.338;1
12:10:01.725;24.338;1
12:10:01.748;24.338;1
12:10:01.772;24.338;1
12:10:01.793;24.338;1
12:10:01.817;24.338;1
12:10:01.840;24.338;1
12:10:01.863;24.338;1
12:10:01.889;24.338;1
12:10:01.910;24.268;1
12:10:01.932;24.268;1
12:10:01.956;24.268;1
12:10:01.978;24.268;1
12:10:02.001;24.268;1
