TimeStamp;Частота вращения РВД (Расчетная);0 - Bad, 1 - Good
12:10:00.001;9564.946;1
12:10:00.024;9565.001;1
12:10:00.046;9565.001;1
12:10:00.068;9564.868;1
12:10:00.091;9564.868;1
12:10:00.114;9564.572;1
12:10:00.140;9564.175;1
12:10:00.162;9566.669;1
12:10:00.183;9565.788;1
12:10:00.206;9566.006;1
12:10:00.229;9566.006;1
12:10:00.253;9566.685;1
12:10:00.277;9565.126;1
12:10:00.298;9565.009;1
12:10:00.322;9565.344;1
12:10:00.344;9566.256;1
12:10:00.369;9565.375;1
12:10:00.391;9565.203;1
12:10:00.414;9565.203;1
12:10:00.437;9565.943;1
12:10:00.459;9563.692;1
12:10:00.487;9564.954;1
12:10:00.508;9565.227;1
12:10:00.528;9564.931;1
12:10:00.552;9564.401;1
12:10:00.575;9564.876;1
12:10:00.597;9564.876;1
12:10:00.620;9564.954;1
12:10:00.643;9564.736;1
12:10:00.669;9564.276;1
12:10:00.689;9564.837;1
12:10:00.712;9564.923;1
12:10:00.735;9564.564;1
12:10:00.758;9564.564;1
12:10:00.781;9564.3;1
12:10:00.807;9564.472;1
12:10:00.829;9564.962;1
12:10:00.852;9565.04;1
12:10:00.874;9565.18;1
12:10:00.896;9565.18;1
12:10:00.919;9564.721;1
12:10:00.942;9564.564;1
12:10:00.968;9566.053;1
12:10:00.988;9564.697;1
12:10:01.011;9564.261;1
12:10:01.034;9564.51;1
12:10:01.057;9564.51;1
12:10:01.080;9564.954;1
12:10:01.106;9564.775;1
12:10:01.127;9564.729;1
12:10:01.150;9564.619;1
12:10:01.174;9564.619;1
12:10:01.195;9564.915;1
12:10:01.218;9565.195;1
12:10:01.241;9566.131;1
12:10:01.267;9565.219;1
12:10:01.287;9564.588;1
12:10:01.310;9565.009;1
12:10:01.333;9565.009;1
12:10:01.356;9564.729;1
12:10:01.380;9564.729;1
12:10:01.402;9564.456;1
12:10:01.425;9565.234;1
12:10:01.448;9567.495;1
12:10:01.471;9565.492;1
12:10:01.494;9564.464;1
12:10:01.517;9564.464;1
12:10:01.540;9564.464;1
12:10:01.563;9565.32;1
12:10:01.587;9568.181;1
12:10:01.610;9563.521;1
12:10:01.633;9564.985;1
12:10:01.657;9565.281;1
12:10:01.680;9565.647;1
12:10:01.702;9565.647;1
12:10:01.725;9566.1;1
12:10:01.748;9565.103;1
12:10:01.772;9565.328;1
12:10:01.793;9565.258;1
12:10:01.817;9565.461;1
12:10:01.840;9564.993;1
12:10:01.863;9564.744;1
12:10:01.889;9564.744;1
12:10:01.910;9565.313;1
12:10:01.932;9565.305;1
12:10:01.956;9564.83;1
12:10:01.978;9565.718;1
