TimeStamp;Частота вращения РНД (Расчетная);0 - Bad, 1 - Good
12:10:00.001;4052.99;1
12:10:00.024;4053.209;1
12:10:00.046;4053.209;1
12:10:00.068;4053.079;1
12:10:00.091;4053.079;1
12:10:00.114;4054.095;1
12:10:00.140;4053.857;1
12:10:00.162;4053.27;1
12:10:00.183;4055.184;1
12:10:00.206;4053.181;1
12:10:00.229;4053.181;1
12:10:00.253;4053.968;1
12:10:00.277;4052.919;1
12:10:00.298;4053.113;1
12:10:00.322;4054.471;1
12:10:00.344;4054.979;1
12:10:00.369;4056.891;1
12:10:00.391;4052.767;1
12:10:00.414;4052.767;1
12:10:00.437;4054.321;1
12:10:00.459;4055.325;1
12:10:00.487;4054.347;1
12:10:00.508;4052.096;1
12:10:00.528;4054.491;1
12:10:00.552;4054.746;1
12:10:00.575;4055.13;1
12:10:00.597;4055.13;1
12:10:00.620;4053.964;1
12:10:00.643;4053.857;1
12:10:00.669;4053.605;1
12:10:00.689;4052.836;1
12:10:00.712;4053.411;1
12:10:00.735;4054.162;1
12:10:00.758;4054.162;1
12:10:00.781;4053.645;1
12:10:00.807;4054.446;1
12:10:00.829;4053.888;1
12:10:00.852;4053.659;1
12:10:00.874;4053.842;1
12:10:00.896;4053.842;1
12:10:00.919;4053.19;1
12:10:00.942;4054.095;1
12:10:00.968;4053.708;1
12:10:00.988;4054.567;1
12:10:01.011;4054.162;1
12:10:01.034;4054.142;1
12:10:01.057;4054.142;1
12:10:01.080;4054.646;1
12:10:01.106;4054.353;1
12:10:01.127;4054.221;1
12:10:01.150;4055.485;1
12:10:01.174;4055.485;1
12:10:01.195;4054.084;1
12:10:01.218;4055.067;1
12:10:01.241;4054.261;1
12:10:01.267;4053.623;1
12:10:01.287;4054.367;1
12:10:01.310;4053.978;1
12:10:01.333;4053.978;1
12:10:01.356;4055.933;1
12:10:01.380;4055.933;1
12:10:01.402;4055.661;1
12:10:01.425;4055.462;1
12:10:01.448;4056.095;1
12:10:01.471;4054.731;1
12:10:01.494;4054.826;1
12:10:01.517;4054.826;1
12:10:01.540;4054.826;1
12:10:01.563;4055.251;1
12:10:01.587;4054.192;1
12:10:01.610;4055.108;1
12:10:01.633;4054.497;1
12:10:01.657;4054.811;1
12:10:01.680;4055.367;1
12:10:01.702;4055.367;1
12:10:01.725;4055.05;1
12:10:01.748;4055.839;1
12:10:01.772;4056.502;1
12:10:01.793;4054.675;1
12:10:01.817;4054.8;1
12:10:01.840;4055.05;1
12:10:01.863;4052.497;1
12:10:01.889;4052.497;1
12:10:01.910;4054.926;1
12:10:01.932;4054.275;1
12:10:01.956;4054.866;1
12:10:01.978;4054.805;1
12:10:02.001;4054.886;1
12:10:02.026;4054.886;1
12:10:02.047;4054.259;1
12:10:02.069;4054.874;1
12:10:02.092;4055.302;1
12:10:02.116;4055.618;1
12:10:02.140;4055.15;1
12:10:02.161;4054.548;1
12:10:02.184;4054.096;1
12:10:02.208;4054.096;1
12:10:02.231;4055.415;1
12:10:02.254;4054.563;1
12:10:02.278;4054.42;1
12:10:02.301;4054.755;1
12:10:02.325;4054.95;1
12:10:02.345;4054.115;1
12:10:02.368;4056.084;1
12:10:02.392;4056.084;1
12:10:02.415;4055.307;1
12:10:02.437;4054.062;1
12:10:02.463;4054.383;1
12:10:02.487;4054.4;1
12:10:02.508;4054.669;1
12:10:02.529;4054.669;1
12:10:02.553;4055.588;1
12:10:02.576;4055.461;1
12:10:02.598;4055.16;1
12:10:02.621;4055.201;1
12:10:02.644;4054.588;1
12:10:02.670;4055.082;1
12:10:02.690;4055.733;1
12:10:02.713;4056.854;1
12:10:02.737;4056.854;1
12:10:02.763;4054.606;1
12:10:02.785;4061.601;1
12:10:02.807;4055.912;1
12:10:02.831;4053.106;1
12:10:02.854;4055.635;1
12:10:02.875;4055.635;1
12:10:02.899;4054.531;1
12:10:02.923;4054.715;1
12:10:02.945;4055.533;1
12:10:02.967;4055.322;1
12:10:02.990;4057.737;1
12:10:03.014;4056.494;1
12:10:03.037;4056.494;1
12:10:03.060;4053.363;1
12:10:03.083;4056.009;1
12:10:03.108;4056.133;1
12:10:03.128;4053.531;1
12:10:03.152;4056.308;1
12:10:03.174;4055.134;1
12:10:03.197;4055.134;1
12:10:03.220;4054.839;1
12:10:03.243;4055.221;1
12:10:03.266;4055.744;1
12:10:03.291;4057.328;1
12:10:03.312;4057.31;1
12:10:03.335;4054.306;1
12:10:03.358;4057.676;1
12:10:03.383;4057.676;1
12:10:03.405;4057.676;1
12:10:03.430;4055.176;1
12:10:03.452;4053.622;1
12:10:03.473;4054.335;1
12:10:03.497;4055.658;1
12:10:03.519;4055.71;1
12:10:03.542;4056.166;1
12:10:03.565;4056.659;1
12:10:03.588;4056.659;1
12:10:03.611;4057.982;1
12:10:03.634;4055.715;1
12:10:03.657;4055.799;1
12:10:03.683;4055.799;1
12:10:03.704;4055.799;1
12:10:03.728;4055.374;1
12:10:03.749;4055.499;1
12:10:03.772;4055.13;1
12:10:03.795;4055.051;1
12:10:03.818;4056.406;1
12:10:03.842;4056.073;1
12:10:03.863;4057.974;1
12:10:03.887;4057.974;1
12:10:03.912;4057.839;1
12:10:03.934;4055.933;1
12:10:03.955;4054.837;1
12:10:03.981;4056.294;1
12:10:04.004;4056.72;1
12:10:04.025;4056.525;1
12:10:04.050;4057.442;1
12:10:04.071;4057.442;1
12:10:04.095;4056.167;1
12:10:04.117;4057.628;1
12:10:04.140;4056.289;1
12:10:04.162;4057.26;1
12:10:04.186;4057.511;1
12:10:04.209;4058.467;1
12:10:04.231;4058.467;1
12:10:04.254;4056.581;1
12:10:04.278;4057.368;1
12:10:04.300;4058.81;1
12:10:04.324;4057.642;1
12:10:04.346;4056.198;1
12:10:04.369;4058.204;1
12:10:04.393;4058.404;1
12:10:04.415;4058.404;1
12:10:04.441;4058.345;1
12:10:04.461;4060.299;1
12:10:04.484;4058.344;1
12:10:04.507;4059.322;1
12:10:04.530;4057.873;1
12:10:04.553;4059.9;1
12:10:04.576;4060.013;1
12:10:04.600;4060.013;1
12:10:04.622;4060.978;1
12:10:04.646;4060.978;1
12:10:04.668;4057.584;1
12:10:04.692;4058.462;1
12:10:04.715;4060.051;1
12:10:04.738;4060.609;1
12:10:04.761;4059.105;1
12:10:04.786;4061.615;1
12:10:04.809;4061.615;1
12:10:04.832;4063.848;1
12:10:04.852;4061.16;1
12:10:04.876;4058.799;1
12:10:04.898;4059.424;1
12:10:04.922;4060.676;1
12:10:04.946;4058.874;1
12:10:04.969;4060.865;1
12:10:04.990;4060.865;1
12:10:05.015;4060.113;1
12:10:05.036;4059.92;1
12:10:05.062;4059.747;1
12:10:05.086;4060.459;1
12:10:05.105;4059.619;1
12:10:05.130;4059.619;1
12:10:05.151;4060.519;1
12:10:05.175;4060.582;1
12:10:05.198;4060.614;1
12:10:05.220;4061.051;1
12:10:05.246;4059.061;1
12:10:05.269;4061.074;1
12:10:05.290;4061.074;1
12:10:05.312;4060.619;1
12:10:05.335;4059.064;1
12:10:05.361;4061.166;1
12:10:05.387;4060.125;1
12:10:05.406;4060.373;1
12:10:05.427;4060.5;1
12:10:05.451;4060.434;1
12:10:05.474;4060.434;1
12:10:05.497;4060.948;1
12:10:05.521;4060.228;1
12:10:05.543;4060.98;1
12:10:05.565;4060.119;1
12:10:05.588;4061.401;1
12:10:05.612;4061.035;1
12:10:05.636;4061.035;1
12:10:05.657;4061.752;1
12:10:05.685;4060.894;1
12:10:05.705;4059.94;1
12:10:05.729;4060.589;1
12:10:05.750;4061.355;1
12:10:05.772;4062.752;1
12:10:05.795;4062.752;1
12:10:05.818;4058.951;1
12:10:05.841;4062.354;1
12:10:05.867;4060.064;1
12:10:05.887;4059.218;1
12:10:05.910;4059.971;1
12:10:05.933;4059.916;1
12:10:05.956;4061.184;1
12:10:05.980;4061.184;1
12:10:06.002;4060.531;1
12:10:06.025;4060.938;1
12:10:06.048;4061.183;1
12:10:06.071;4061.672;1
12:10:06.094;4061.919;1
12:10:06.117;4061.919;1
12:10:06.140;4063.134;1
12:10:06.163;4059.598;1
12:10:06.187;4059.598;1
12:10:06.209;4060.405;1
12:10:06.232;4060.872;1
12:10:06.255;4062.304;1
12:10:06.280;4062.304;1
12:10:06.301;4062.261;1
12:10:06.324;4061.979;1
12:10:06.350;4062.134;1
12:10:06.370;4063.498;1
12:10:06.393;4062.677;1
12:10:06.416;4062.677;1
12:10:06.439;4060.834;1
12:10:06.465;4059.823;1
12:10:06.485;4062.462;1
12:10:06.508;4061.141;1
12:10:06.531;4060.857;1
12:10:06.554;4061.718;1
12:10:06.577;4061.718;1
12:10:06.600;4061.741;1
12:10:06.623;4062.205;1
12:10:06.646;4062.205;1
