TimeStamp;30 Температура масла в магистрали общей откачки (поз. Тм);31 Температура слива масла из опоры турбины (поз. Т606);32 Температура масла на входе в двигатель за фильтром (поз. Т607);33 Температура топливного газа перед СК (перед расходомерным устройством) (поз. Ттг);34 Давление масла в нагнетающей магистрали двигателя (после фильтра) (поз. Pм);35 Давление масла в магистрали общей откачки (поз. Р615);36 Давление за ОК Pk1;37 Давление за ОК Pk2;38 Давление топливного газа перед дозаторами (поз. Pтг1.1);39 Вибрация промежуточного корпуса газогенератора (гориз.) (поз. В1);40 Вибрация корпуса силовой турбины (гориз.) (поз. В2);41 Положение дозатора газа 8402 (или ДУС-6,5 МП) ( поз. А ДГ);42 Контроль управления дозатором газа ДГ ;43 Частота вращения РНД (Расчетная);44 Частота вращения РВД (Расчетная);45 Частота вращения РСТ (Расчетная);46 Температура воздуха на входе в газогенератор (Расчетная);47 Давление воздуха за компрессором (Расчетная);48 Частота вращения РНД приведенная;49 Частота вращения РВД приведенная;50 Температура газов за ТНД максимальная (Расчетная);51 Положение лопаток НА КВД. (поз. A2);52 Положение КПВ (поз. A3)
20:26:00.006;18.020;21.345;25.678;13.357;292.330;105.977;165.950;168.119;3011.687;2.117;1.954;11.120;11.154;3493.659;8772.037;1212.809;-22.330;167.035;3744.446;9400.398;376.741;7.898;5.072
20:26:00.026;18.020;21.350;25.678;13.357;292.330;105.977;165.950;168.119;3023.499;2.117;1.954;11.120;11.154;3493.659;8772.037;1212.809;-22.330;167.035;3743.651;9399.729;376.741;7.898;5.072
20:26:00.045;18.045;21.353;25.698;13.357;292.332;107.565;165.950;168.119;3029.404;2.117;1.954;11.120;11.154;3493.659;8772.037;1212.809;-22.330;167.035;3743.652;9399.729;376.741;7.898;5.072
20:26:00.067;18.045;21.354;25.698;13.357;292.332;107.565;165.950;168.119;3032.357;2.117;1.954;11.120;11.154;3493.659;8772.037;1212.809;-22.330;167.035;3743.652;9399.730;376.741;7.898;5.072
20:26:00.085;18.045;21.370;25.698;13.357;292.332;107.565;167.264;167.656;3003.409;2.114;1.949;11.123;11.144;3493.659;8772.037;1212.809;-22.330;167.035;3743.652;9399.730;376.741;7.547;5.103
20:26:00.105;18.045;21.378;25.698;13.357;292.332;107.565;167.264;167.656;2988.935;2.114;1.949;11.123;11.144;3494.389;8772.179;1212.827;-22.330;167.460;3743.652;9399.730;376.741;7.547;5.103
20:26:00.125;18.045;21.382;25.698;13.357;292.332;107.565;167.264;167.656;2981.698;2.114;1.949;11.123;11.144;3494.389;8772.179;1212.827;-22.330;167.460;3744.435;9399.883;376.741;7.547;5.103
20:26:00.146;18.058;21.384;25.778;13.357;292.360;108.118;167.264;167.656;2978.079;2.114;1.949;11.123;11.144;3494.389;8772.179;1212.827;-22.330;167.460;3744.435;9399.883;376.742;7.547;5.103
20:26:00.165;18.058;21.385;25.778;13.357;292.360;108.118;167.264;167.656;2976.270;2.114;1.949;11.123;11.144;3494.389;8772.179;1212.827;-22.330;167.460;3744.435;9399.883;376.742;7.547;5.103
20:26:00.185;18.058;21.398;25.778;13.357;292.360;108.118;164.714;168.274;2950.258;2.114;1.940;11.123;11.095;3494.389;8772.179;1212.827;-22.330;167.460;3744.435;9399.884;376.742;7.625;4.992
20:26:00.205;18.058;21.405;25.778;13.357;292.360;108.118;164.714;168.274;2937.253;2.114;1.940;11.123;11.095;3493.445;8771.474;1212.844;-22.324;166.494;3744.435;9399.884;376.741;7.625;4.992
20:26:00.225;18.058;21.408;25.778;13.357;292.360;108.118;164.714;168.274;2930.750;2.114;1.940;11.123;11.095;3493.445;8771.474;1212.844;-22.321;166.494;3743.379;9399.019;376.742;7.625;4.992
20:26:00.246;18.088;21.410;25.819;13.357;292.384;107.857;164.714;168.274;2927.499;2.114;1.940;11.123;11.095;3493.445;8771.474;1212.844;-22.320;166.494;3743.358;9398.965;376.742;7.625;4.992
20:26:00.265;18.088;21.411;25.819;13.357;292.384;107.857;164.714;168.274;2925.873;2.114;1.940;11.123;11.095;3493.445;8771.474;1212.844;-22.319;166.494;3743.347;9398.937;376.742;7.625;4.992
20:26:00.286;18.088;21.430;25.819;13.357;292.384;107.857;167.110;168.505;2952.022;2.107;1.933;11.049;11.064;3493.445;8771.474;1212.844;-22.319;166.494;3743.342;9398.923;376.741;7.656;5.100
20:26:00.305;18.088;21.440;25.819;13.357;292.384;107.857;167.110;168.505;2965.096;2.107;1.933;11.049;11.064;3492.302;8772.495;1212.844;-22.318;167.808;3743.339;9398.917;376.742;7.656;5.100
20:26:00.325;18.088;21.444;25.819;13.357;292.384;107.857;167.110;168.505;2971.634;2.107;1.933;11.049;11.064;3492.302;8772.495;1212.844;-22.318;167.808;3742.114;9400.008;376.742;7.656;5.100
20:26:00.345;18.103;21.447;25.839;13.357;292.395;107.356;167.110;168.505;2974.902;2.107;1.933;11.049;11.064;3492.302;8772.495;1212.844;-22.318;167.808;3742.113;9400.006;376.742;7.656;5.100
20:26:00.365;18.103;21.448;25.839;13.357;292.395;107.356;167.110;168.505;2976.537;2.107;1.933;11.049;11.064;3492.302;8772.495;1212.844;-22.318;167.808;3742.112;9400.005;376.741;7.656;5.100
20:26:00.385;18.103;21.449;25.839;13.357;292.395;107.356;167.110;169.510;2962.450;2.100;1.926;11.052;11.107;3492.302;8772.495;1212.844;-22.318;167.808;3742.112;9400.004;376.742;7.734;5.075
20:26:00.405;18.103;21.449;25.839;13.357;292.395;107.356;167.110;169.510;2955.407;2.100;1.926;11.052;11.107;3492.861;8772.823;1212.867;-22.324;168.310;3742.112;9400.004;376.708;7.734;5.075
20:26:00.425;18.103;21.449;25.839;13.357;292.395;107.356;167.110;169.510;2951.886;2.100;1.926;11.052;11.107;3492.861;8772.823;1212.867;-22.327;168.310;3742.753;9400.465;376.691;7.734;5.075
20:26:00.446;18.110;21.449;25.908;13.357;292.392;107.318;167.110;169.510;2950.125;2.100;1.926;11.052;11.107;3492.861;8772.823;1212.867;-22.328;168.310;3742.775;9400.520;376.683;7.734;5.075
20:26:00.465;18.110;21.449;25.908;13.357;292.392;107.318;167.110;169.510;2949.245;2.100;1.926;11.052;11.107;3492.861;8772.823;1212.867;-22.329;168.310;3742.786;9400.547;376.679;7.734;5.075
20:26:00.485;18.110;21.455;25.908;13.357;292.392;107.318;165.564;169.973;2957.524;2.091;1.928;11.049;11.123;3492.861;8772.823;1212.867;-22.329;168.310;3742.792;9400.561;376.677;7.578;5.042
20:26:00.505;18.110;21.459;25.908;13.357;292.392;107.318;165.564;169.973;2961.664;2.091;1.928;11.049;11.123;3493.650;8773.479;1212.938;-22.330;167.769;3742.794;9400.567;376.650;7.578;5.042
20:26:00.525;18.110;21.460;25.908;13.357;292.392;107.318;165.564;169.973;2963.733;2.091;1.928;11.049;11.123;3493.650;8773.479;1212.938;-22.330;167.769;3743.641;9401.272;376.637;7.578;5.042
20:26:00.546;18.149;21.461;25.942;13.357;292.372;107.735;165.564;169.973;2964.768;2.091;1.928;11.049;11.123;3493.650;8773.479;1212.938;-22.330;167.769;3743.642;9401.274;376.631;7.578;5.042
20:26:00.565;18.149;21.461;25.942;13.357;292.372;107.735;165.564;169.973;2965.286;2.091;1.928;11.049;11.123;3493.650;8773.479;1212.938;-22.330;167.769;3743.643;9401.275;376.627;7.578;5.042
20:26:00.585;18.149;21.471;25.942;13.357;292.372;107.735;166.105;171.210;3033.382;2.091;1.924;11.049;11.107;3493.650;8773.479;1212.938;-22.330;167.769;3743.643;9401.275;376.626;7.736;5.072
20:26:00.605;18.149;21.476;25.942;13.357;292.372;107.735;166.105;171.210;3067.430;2.091;1.924;11.049;11.107;3492.488;8774.082;1213.028;-22.330;168.657;3743.643;9401.275;376.616;7.736;5.072
