TimeStamp;Вибрация промежуточного корпуса газогенератора (гориз.) (поз. В1);0 - Bad, 1 - Good
12:10:00.001;1.977;1
12:10:00.024;1.977;1
12:10:00.046;1.972;1
12:10:00.068;1.972;1
12:10:00.091;1.977;1
12:10:00.114;1.975;1
12:10:00.140;1.975;1
12:10:00.162;1.977;1
12:10:00.183;1.977;1
12:10:00.206;1.977;1
12:10:00.229;1.98;1
12:10:00.253;1.977;1
12:10:00.277;1.975;1
12:10:00.298;1.977;1
12:10:00.322;1.977;1
12:10:00.344;1.977;1
12:10:00.369;1.972;1
12:10:00.391;1.972;1
12:10:00.414;1.98;1
12:10:00.437;1.977;1
12:10:00.459;1.977;1
12:10:00.487;1.977;1
12:10:00.508;1.984;1
12:10:00.528;1.982;1
12:10:00.552;1.987;1
12:10:00.575;1.987;1
12:10:00.597;1.987;1
12:10:00.620;1.975;1
12:10:00.643;1.977;1
12:10:00.669;1.984;1
12:10:00.689;1.98;1
12:10:00.712;1.98;1
12:10:00.735;1.98;1
12:10:00.758;1.982;1
12:10:00.781;1.982;1
12:10:00.807;1.982;1
12:10:00.829;1.982;1
12:10:00.852;1.98;1
12:10:00.874;1.98;1
12:10:00.896;1.98;1
12:10:00.919;1.982;1
12:10:00.942;1.984;1
12:10:00.968;1.975;1
12:10:00.988;1.982;1
12:10:01.011;1.982;1
12:10:01.034;1.982;1
12:10:01.057;1.977;1
12:10:01.080;1.982;1
12:10:01.106;1.977;1
12:10:01.127;1.977;1
12:10:01.150;1.977;1
12:10:01.174;1.977;1
12:10:01.195;1.98;1
12:10:01.218;1.977;1
12:10:01.241;1.982;1
12:10:01.267;1.987;1
12:10:01.287;1.987;1
12:10:01.310;1.987;1
12:10:01.333;1.987;1
12:10:01.356;1.987;1
12:10:01.380;1.984;1
12:10:01.402;1.992;1
12:10:01.425;1.992;1
12:10:01.448;1.992;1
12:10:01.471;1.992;1
12:10:01.494;1.992;1
12:10:01.517;1.999;1
12:10:01.540;1.999;1
12:10:01.563;1.999;1
12:10:01.587;1.999;1
12:10:01.610;1.997;1
12:10:01.633;2.002;1
12:10:01.657;1.997;1
12:10:01.680;1.997;1
12:10:01.702;2.002;1
12:10:01.725;1.999;1
12:10:01.748;1.999;1
12:10:01.772;1.999;1
12:10:01.793;2.002;1
12:10:01.817;1.997;1
12:10:01.840;1.997;1
12:10:01.863;1.997;1
12:10:01.889;1.997;1
12:10:01.910;1.994;1
12:10:01.932;1.997;1
12:10:01.956;2.002;1
12:10:01.978;1.999;1
12:10:02.001;1.999;1
12:10:02.026;1.999;1
12:10:02.047;2.002;1
12:10:02.069;1.994;1
12:10:02.092;1.997;1
12:10:02.116;2.002;1
12:10:02.140;2.002;1
12:10:02.161;1.994;1
12:10:02.184;1.994;1
12:10:02.208;1.994;1
12:10:02.231;1.994;1
12:10:02.254;1.997;1
12:10:02.278;1.997;1
12:10:02.301;2.002;1
12:10:02.325;1.992;1
12:10:02.345;2.002;1
12:10:02.368;2.002;1
12:10:02.392;1.999;1
12:10:02.415;1.999;1
12:10:02.437;1.994;1
12:10:02.463;1.992;1
12:10:02.487;1.989;1
12:10:02.508;1.989;1
12:10:02.529;1.997;1
12:10:02.553;1.997;1
12:10:02.576;1.992;1
12:10:02.598;1.992;1
12:10:02.621;1.989;1
12:10:02.644;1.989;1
12:10:02.670;1.989;1
12:10:02.690;1.987;1
12:10:02.713;1.987;1
12:10:02.737;1.984;1
12:10:02.763;1.987;1
12:10:02.785;1.984;1
12:10:02.807;1.984;1
12:10:02.831;1.992;1
12:10:02.854;1.992;1
12:10:02.875;1.989;1
12:10:02.899;1.987;1
12:10:02.923;1.992;1
12:10:02.945;1.992;1
12:10:02.967;1.992;1
12:10:02.990;1.992;1
12:10:03.014;1.992;1
12:10:03.037;1.997;1
12:10:03.060;1.992;1
12:10:03.083;1.997;1
12:10:03.108;1.997;1
12:10:03.128;1.997;1
12:10:03.152;2.002;1
12:10:03.174;2.002;1
12:10:03.197;1.999;1
12:10:03.220;2.002;1
12:10:03.243;2.002;1
12:10:03.266;2.002;1
12:10:03.291;1.999;1
12:10:03.312;1.999;1
12:10:03.335;2.002;1
12:10:03.358;2.002;1
12:10:03.383;2.002;1
12:10:03.405;2.002;1
12:10:03.430;2.002;1
12:10:03.452;2.002;1
12:10:03.473;2.002;1
12:10:03.497;2.002;1
12:10:03.519;2.002;1
12:10:03.542;2.002;1
12:10:03.565;2.002;1
12:10:03.588;2.002;1
12:10:03.611;2.002;1
12:10:03.634;2.004;1
12:10:03.657;2.004;1
12:10:03.683;1.997;1
12:10:03.704;1.997;1
12:10:03.728;2.002;1
12:10:03.749;2.002;1
12:10:03.772;2.004;1
12:10:03.795;2.004;1
12:10:03.818;2.002;1
12:10:03.842;1.997;1
12:10:03.863;1.997;1
12:10:03.887;1.999;1
12:10:03.912;1.999;1
12:10:03.934;1.999;1
12:10:03.955;1.999;1
12:10:03.981;2.002;1
12:10:04.004;2.002;1
12:10:04.025;2.002;1
12:10:04.050;2.002;1
12:10:04.071;2.002;1
12:10:04.095;2.002;1
12:10:04.117;2.006;1
12:10:04.140;2.004;1
12:10:04.162;1.999;1
12:10:04.186;2.004;1
12:10:04.209;2.004;1
12:10:04.231;2.004;1
12:10:04.254;2.006;1
12:10:04.278;2.006;1
12:10:04.300;2.006;1
12:10:04.324;2.009;1
12:10:04.346;2.009;1
12:10:04.369;2.009;1
12:10:04.393;2.009;1
12:10:04.415;2.002;1
12:10:04.441;2.004;1
12:10:04.461;2.002;1
12:10:04.484;2.002;1
12:10:04.507;2.004;1
12:10:04.530;2.004;1
12:10:04.553;2.004;1
12:10:04.576;2.004;1
12:10:04.600;2.004;1
12:10:04.622;2.004;1
12:10:04.646;2.004;1
12:10:04.668;2.004;1
12:10:04.692;1.999;1
12:10:04.715;1.999;1
12:10:04.738;1.997;1
12:10:04.761;1.997;1
12:10:04.786;1.997;1
12:10:04.809;1.994;1
12:10:04.832;1.994;1
12:10:04.852;1.994;1
12:10:04.876;1.992;1
12:10:04.898;1.992;1
12:10:04.922;1.987;1
12:10:04.946;1.994;1
12:10:04.969;1.994;1
12:10:04.990;1.997;1
12:10:05.015;1.989;1
12:10:05.036;1.989;1
12:10:05.062;1.992;1
12:10:05.086;1.992;1
12:10:05.105;1.992;1
12:10:05.130;1.992;1
12:10:05.151;1.992;1
12:10:05.175;1.987;1
12:10:05.198;1.987;1
12:10:05.220;1.989;1
12:10:05.246;1.989;1
12:10:05.269;1.989;1
12:10:05.290;1.992;1
12:10:05.312;1.992;1
12:10:05.335;1.992;1
12:10:05.361;1.987;1
12:10:05.387;1.992;1
12:10:05.406;1.992;1
12:10:05.427;1.992;1
12:10:05.451;1.992;1
12:10:05.474;1.992;1
12:10:05.497;1.992;1
12:10:05.521;1.989;1
12:10:05.543;1.994;1
12:10:05.565;1.994;1
12:10:05.588;1.994;1
12:10:05.612;1.994;1
12:10:05.636;1.994;1
12:10:05.657;1.999;1
12:10:05.685;1.994;1
12:10:05.705;1.997;1
12:10:05.729;1.997;1
12:10:05.750;1.992;1
12:10:05.772;1.992;1
12:10:05.795;1.994;1
12:10:05.818;1.999;1
12:10:05.841;1.994;1
12:10:05.867;1.994;1
12:10:05.887;1.997;1
12:10:05.910;1.994;1
12:10:05.933;1.999;1
12:10:05.956;1.999;1
12:10:05.980;1.997;1
12:10:06.002;1.997;1
12:10:06.025;1.992;1
12:10:06.048;1.997;1
12:10:06.071;1.994;1
12:10:06.094;1.994;1
12:10:06.117;1.994;1
