TimeStamp;Давление воздуха за компрессором (Расчетная);0 - Bad, 1 - Good
12:10:00.001;250.959;1
12:10:00.024;251.152;1
12:10:00.046;251.152;1
12:10:00.068;251.264;1
12:10:00.091;251.264;1
12:10:00.114;250.843;1
12:10:00.140;250.73;1
12:10:00.162;250.576;1
12:10:00.183;250.536;1
12:10:00.206;250.728;1
12:10:00.229;250.728;1
12:10:00.253;251;1
12:10:00.277;250.959;1
12:10:00.298;250.844;1
12:10:00.322;250.767;1
12:10:00.344;250.69;1
12:10:00.369;251.075;1
12:10:00.391;250.689;1
12:10:00.414;250.689;1
12:10:00.437;250.73;1
12:10:00.459;251.115;1
12:10:00.487;250.809;1
12:10:00.508;250.993;1
12:10:00.528;250.808;1
12:10:00.552;250.768;1
12:10:00.575;250.421;1
12:10:00.597;250.421;1
12:10:00.620;250.804;1
12:10:00.643;250.766;1
12:10:00.669;250.77;1
12:10:00.689;251.11;1
12:10:00.712;251.495;1
12:10:00.735;250.921;1
12:10:00.758;250.921;1
12:10:00.781;250.271;1
12:10:00.807;251.113;1
12:10:00.829;250.572;1
12:10:00.852;251.651;1
12:10:00.874;250.961;1
12:10:00.896;250.961;1
12:10:00.919;251.15;1
12:10:00.942;250.956;1
12:10:00.968;250.962;0
12:10:00.988;250.5;1
12:10:01.011;251.496;1
12:10:01.034;250.806;1
12:10:01.057;250.806;1
12:10:01.080;250.924;1
12:10:01.106;251.153;1
12:10:01.127;251.111;1
12:10:01.150;251.304;1
12:10:01.174;251.304;1
12:10:01.195;250.729;1
12:10:01.218;250.538;1
12:10:01.241;251.266;1
12:10:01.267;250.613;1
12:10:01.287;251.191;1
12:10:01.310;251.229;1
12:10:01.333;251.229;1
12:10:01.356;250.692;1
12:10:01.380;250.692;1
12:10:01.402;250.692;1
12:10:01.425;249.922;1
12:10:01.448;250.918;1
12:10:01.471;250.769;1
12:10:01.494;250.463;1
12:10:01.517;250.463;1
12:10:01.540;250.463;1
12:10:01.563;251.187;1
12:10:01.587;251.649;1
12:10:01.610;250.691;1
12:10:01.633;250.536;1
12:10:01.657;251.228;1
12:10:01.680;250.766;1
12:10:01.702;250.766;1
12:10:01.725;251.729;1
12:10:01.748;251.423;1
12:10:01.772;251.306;1
12:10:01.793;250.689;1
12:10:01.817;251.383;1
12:10:01.840;251.152;1
12:10:01.863;251.075;1
12:10:01.889;251.075;1
12:10:01.910;251.379;1
12:10:01.932;250.577;1
12:10:01.956;251.498;1
12:10:01.978;250.496;1
12:10:02.001;251.19;1
12:10:02.026;251.19;1
12:10:02.047;250.807;1
12:10:02.069;250.885;1
12:10:02.092;250.96;1
12:10:02.116;250.651;1
12:10:02.140;250.616;1
12:10:02.161;251.191;1
12:10:02.184;250.614;1
12:10:02.208;250.614;1
12:10:02.231;250.688;1
12:10:02.254;251.309;1
12:10:02.278;249.998;1
12:10:02.301;251.109;1
12:10:02.325;250.96;1
12:10:02.345;250.769;1
12:10:02.368;251.227;1
12:10:02.392;251.227;1
12:10:02.415;251.189;1
12:10:02.437;250.844;1
12:10:02.463;250.959;1
12:10:02.487;251.113;1
12:10:02.508;250.88;1
12:10:02.529;250.88;1
12:10:02.553;252.19;1
12:10:02.576;251.501;1
