TimeStamp;Давление масла в магистрали общей откачки (поз. Р615);0 - Bad, 1 - Good
12:10:00.001;198.239;1
12:10:00.024;198.239;1
12:10:00.046;198.22;1
12:10:00.068;198.22;1
12:10:00.091;197.553;1
12:10:00.114;197.553;1
12:10:00.140;197.516;1
12:10:00.162;198.016;1
12:10:00.183;198.498;1
12:10:00.206;198.498;1
12:10:00.229;198.832;1
12:10:00.253;198.832;1
12:10:00.277;198.461;1
12:10:00.298;197.646;1
12:10:00.322;196.737;1
12:10:00.344;196.088;1
12:10:00.369;196.088;1
12:10:00.391;196.088;1
12:10:00.414;197.219;1
12:10:00.437;198.647;1
12:10:00.459;200.704;0
12:10:00.487;203.207;0
12:10:00.508;203.207;1
12:10:00.528;205.191;1
12:10:00.552;206.229;1
12:10:00.575;206.229;1
12:10:00.597;206.062;1
12:10:00.620;205.395;1
12:10:00.643;205.395;1
12:10:00.669;204.301;1
12:10:00.689;203.003;1
12:10:00.712;201.817;1
12:10:00.735;201.817;1
12:10:00.758;200.89;1
12:10:00.781;199.778;1
12:10:00.807;199.778;1
12:10:00.829;198.406;1
12:10:00.852;196.904;1
12:10:00.874;196.904;1
12:10:00.896;196.033;1
12:10:00.919;195.81;1
12:10:00.942;195.81;1
12:10:00.968;197.015;1
12:10:00.988;199.629;0
12:10:01.011;201.001;1
12:10:01.034;201.001;1
12:10:01.057;202.799;1
12:10:01.080;202.799;1
12:10:01.106;203.763;1
12:10:01.127;202.929;1
12:10:01.150;202.929;1
12:10:01.174;201.279;1
12:10:01.195;199.611;1
12:10:01.218;199.611;1
12:10:01.241;198.053;1
12:10:01.267;196.96;1
12:10:01.287;197.238;1
12:10:01.310;197.238;1
12:10:01.333;198.202;1
12:10:01.356;198.202;1
12:10:01.380;198.888;1
12:10:01.402;199.129;1
12:10:01.425;198.888;1
12:10:01.448;198.072;1
12:10:01.471;198.072;1
12:10:01.494;198.072;1
12:10:01.517;197.33;1
12:10:01.540;197.33;1
12:10:01.563;196.515;1
12:10:01.587;195.569;1
12:10:01.610;195.124;1
12:10:01.633;194.957;1
12:10:01.657;194.957;1
12:10:01.680;194.957;1
12:10:01.702;194.568;1
12:10:01.725;194.271;1
12:10:01.748;194.809;1
12:10:01.772;194.698;0
12:10:01.793;194.698;1
12:10:01.817;194.123;1
12:10:01.840;192.547;1
12:10:01.863;192.547;1
12:10:01.889;190.805;1
12:10:01.910;189.896;1
12:10:01.932;189.896;1
12:10:01.956;191.231;1
12:10:01.978;193.697;0
12:10:02.001;193.697;1
12:10:02.026;196.552;0
12:10:02.047;199.147;1
12:10:02.069;199.147;1
12:10:02.092;201.001;1
12:10:02.116;202.039;1
12:10:02.140;202.373;1
12:10:02.161;201.761;1
12:10:02.184;201.761;1
12:10:02.208;201.761;1
12:10:02.231;201.057;1
12:10:02.254;200.575;1
12:10:02.278;200.519;0
12:10:02.301;200.63;0
12:10:02.325;200.63;1
12:10:02.345;200.371;1
12:10:02.368;200.371;1
12:10:02.392;199.722;1
12:10:02.415;197.46;1
12:10:02.437;194.512;0
12:10:02.463;194.512;1
12:10:02.487;192.251;0
12:10:02.508;192.251;1
12:10:02.529;191.602;1
12:10:02.553;191.824;1
12:10:02.576;192.455;1
12:10:02.598;192.455;1
12:10:02.621;194.531;0
12:10:02.644;196.329;1
12:10:02.670;197.219;1
12:10:02.690;197.349;0
12:10:02.713;197.349;1
12:10:02.737;197.349;1
12:10:02.763;197.071;1
12:10:02.785;197.367;1
12:10:02.807;197.015;1
12:10:02.831;196.088;1
12:10:02.854;196.088;1
12:10:02.875;196.088;1
12:10:02.899;196.589;1
12:10:02.923;198.109;1
12:10:02.945;200.204;0
12:10:02.967;202.484;0
12:10:02.990;204.264;1
12:10:03.014;204.264;1
12:10:03.037;204.264;1
12:10:03.060;205.265;1
12:10:03.083;204.542;1
12:10:03.108;203.133;1
12:10:03.128;201.539;1
12:10:03.152;201.539;1
12:10:03.174;201.539;1
12:10:03.197;200.945;1
12:10:03.220;201.91;1
12:10:03.243;203.115;1
12:10:03.266;203.745;1
12:10:03.291;203.745;1
12:10:03.312;203.263;1
12:10:03.335;201.594;0
