TimeStamp;Контроль управления дозатором газа ДГ ;0 - Bad, 1 - Good
12:10:00.001;32.44;1
12:10:00.024;32.44;1
12:10:00.046;32.44;1
12:10:00.068;32.44;1
12:10:00.091;32.437;1
12:10:00.114;32.453;1
12:10:00.140;32.437;1
12:10:00.162;32.437;1
12:10:00.183;32.437;1
12:10:00.206;32.437;1
12:10:00.229;32.443;1
12:10:00.253;32.425;1
12:10:00.277;32.428;1
12:10:00.298;32.428;1
12:10:00.322;32.413;1
12:10:00.344;32.437;1
12:10:00.369;32.437;1
12:10:00.391;32.437;1
12:10:00.414;32.434;1
12:10:00.437;32.434;1
12:10:00.459;32.434;1
12:10:00.487;32.434;1
12:10:00.508;32.425;1
12:10:00.528;32.462;1
12:10:00.552;32.462;1
12:10:00.575;32.462;1
12:10:00.597;32.431;1
12:10:00.620;32.453;1
12:10:00.643;32.437;1
12:10:00.669;32.437;1
12:10:00.689;32.437;1
12:10:00.712;32.434;1
12:10:00.735;32.434;1
12:10:00.758;32.437;1
12:10:00.781;32.437;1
12:10:00.807;32.44;1
12:10:00.829;32.44;1
12:10:00.852;32.437;1
12:10:00.874;32.437;1
12:10:00.896;32.437;1
12:10:00.919;32.434;1
12:10:00.942;32.431;1
12:10:00.968;32.431;1
12:10:00.988;32.431;1
12:10:01.011;32.437;0
12:10:01.034;32.437;1
12:10:01.057;32.419;1
12:10:01.080;32.44;1
12:10:01.106;32.44;1
12:10:01.127;32.44;1
12:10:01.150;32.44;1
12:10:01.174;32.437;1
12:10:01.195;32.431;1
12:10:01.218;32.437;1
12:10:01.241;32.447;1
12:10:01.267;32.447;1
12:10:01.287;32.431;1
12:10:01.310;32.431;1
12:10:01.333;32.434;1
12:10:01.356;32.434;1
12:10:01.380;32.434;1
12:10:01.402;32.434;1
12:10:01.425;32.437;1
12:10:01.448;32.44;1
12:10:01.471;32.44;1
12:10:01.494;32.44;1
12:10:01.517;32.431;1
12:10:01.540;32.431;1
12:10:01.563;32.431;1
12:10:01.587;32.431;1
12:10:01.610;32.44;0
12:10:01.633;32.431;0
12:10:01.657;32.366;1
12:10:01.680;32.366;1
12:10:01.702;32.366;1
12:10:01.725;32.437;1
12:10:01.748;32.431;1
12:10:01.772;32.431;1
12:10:01.793;32.416;1
12:10:01.817;32.416;1
12:10:01.840;32.431;1
12:10:01.863;32.431;1
12:10:01.889;32.468;1
12:10:01.910;32.431;1
12:10:01.932;32.434;1
12:10:01.956;32.434;1
12:10:01.978;32.434;1
12:10:02.001;32.434;1
12:10:02.026;32.431;1
12:10:02.047;32.431;1
12:10:02.069;32.431;1
12:10:02.092;32.428;1
12:10:02.116;32.428;1
12:10:02.140;32.428;1
12:10:02.161;32.434;1
12:10:02.184;32.434;1
12:10:02.208;32.431;1
12:10:02.231;32.431;1
12:10:02.254;32.431;1
12:10:02.278;32.437;0
12:10:02.301;32.428;0
12:10:02.325;32.428;1
12:10:02.345;32.431;0
12:10:02.368;32.431;1
12:10:02.392;32.431;1
12:10:02.415;32.428;0
12:10:02.437;32.431;0
12:10:02.463;32.428;0
12:10:02.487;32.431;0
12:10:02.508;32.431;1
12:10:02.529;32.431;1
12:10:02.553;32.437;0
12:10:02.576;32.431;0
12:10:02.598;32.4;1
12:10:02.621;32.425;1
12:10:02.644;32.425;1
12:10:02.670;32.431;1
12:10:02.690;32.428;1
12:10:02.713;32.428;1
12:10:02.737;32.428;1
12:10:02.763;32.422;1
12:10:02.785;32.422;1
12:10:02.807;32.434;1
12:10:02.831;32.425;1
12:10:02.854;32.425;1
12:10:02.875;32.431;1
12:10:02.899;32.431;1
12:10:02.923;32.431;1
12:10:02.945;32.431;1
12:10:02.967;32.428;0
12:10:02.990;32.428;1
12:10:03.014;32.428;1
12:10:03.037;32.425;0
