TimeStamp;Температура воздуха на входе в газогенератор (Расчетная);0 - Bad, 1 - Good
12:10:00.001;5.601;1
12:10:00.024;5.601;1
12:10:00.046;5.601;1
12:10:00.068;5.601;1
12:10:00.091;5.601;1
12:10:00.114;5.578;1
12:10:00.140;5.578;1
12:10:00.162;5.578;1
12:10:00.183;5.578;1
12:10:00.206;5.578;1
12:10:00.229;5.578;1
12:10:00.253;5.554;1
12:10:00.277;5.554;1
12:10:00.298;5.554;1
12:10:00.322;5.554;1
12:10:00.344;5.554;1
12:10:00.369;5.554;1
12:10:00.391;5.531;1
12:10:00.414;5.531;1
12:10:00.437;5.531;1
12:10:00.459;5.531;1
12:10:00.487;5.531;1
12:10:00.508;5.531;1
12:10:00.528;5.531;1
12:10:00.552;5.508;1
12:10:00.575;5.508;1
12:10:00.597;5.508;1
12:10:00.620;5.508;1
12:10:00.643;5.508;1
12:10:00.669;5.508;1
12:10:00.689;5.508;1
12:10:00.712;5.496;1
12:10:00.735;5.496;1
12:10:00.758;5.496;1
12:10:00.781;5.496;1
12:10:00.807;5.496;1
12:10:00.829;5.496;1
12:10:00.852;5.496;1
12:10:00.874;5.485;1
12:10:00.896;5.485;1
12:10:00.919;5.485;1
12:10:00.942;5.485;1
12:10:00.968;5.485;1
12:10:00.988;5.485;1
12:10:01.011;5.473;1
12:10:01.034;5.473;1
12:10:01.057;5.473;1
12:10:01.080;5.473;1
12:10:01.106;5.473;1
12:10:01.127;5.473;1
12:10:01.150;5.473;1
12:10:01.174;5.473;1
12:10:01.195;5.473;1
12:10:01.218;5.473;1
12:10:01.241;5.473;1
12:10:01.267;5.473;1
12:10:01.287;5.473;1
12:10:01.310;5.473;1
12:10:01.333;5.473;1
12:10:01.356;5.473;1
12:10:01.380;5.473;1
12:10:01.402;5.473;1
12:10:01.425;5.473;1
12:10:01.448;5.473;1
12:10:01.471;5.473;1
12:10:01.494;5.473;1
12:10:01.517;5.473;1
12:10:01.540;5.473;1
12:10:01.563;5.45;1
12:10:01.587;5.45;1
12:10:01.610;5.45;1
12:10:01.633;5.45;1
12:10:01.657;5.45;1
12:10:01.680;5.45;1
12:10:01.702;5.45;1
12:10:01.725;5.45;1
12:10:01.748;5.45;1
12:10:01.772;5.45;1
12:10:01.793;5.45;1
12:10:01.817;5.45;1
12:10:01.840;5.45;1
12:10:01.863;5.45;1
12:10:01.889;5.45;1
12:10:01.910;5.45;1
12:10:01.932;5.45;1
12:10:01.956;5.45;1
12:10:01.978;5.45;1
12:10:02.001;5.438;1
12:10:02.026;5.438;1
12:10:02.047;5.438;1
