TimeStamp;Температура топливного газа перед СК (перед расходомерным устройством) (поз. Ттг);0 - Bad, 1 - Good
12:10:00.001;8.762;1
12:10:00.024;8.762;1
12:10:00.046;8.762;1
12:10:00.068;8.762;1
12:10:00.091;8.762;1
12:10:00.114;8.762;1
12:10:00.140;8.762;1
12:10:00.162;8.762;1
12:10:00.183;8.762;1
12:10:00.206;8.762;1
12:10:00.229;8.762;1
12:10:00.253;8.762;1
12:10:00.277;8.762;1
12:10:00.298;8.762;1
12:10:00.322;8.762;1
12:10:00.344;8.762;1
12:10:00.369;8.762;1
12:10:00.391;8.762;1
12:10:00.414;8.762;1
12:10:00.437;8.762;1
12:10:00.459;8.81;1
12:10:00.487;8.81;1
12:10:00.508;8.81;1
12:10:00.528;8.81;1
12:10:00.552;8.81;1
12:10:00.575;8.81;1
12:10:00.597;8.81;1
12:10:00.620;8.81;1
12:10:00.643;8.81;1
12:10:00.669;8.81;1
12:10:00.689;8.81;1
12:10:00.712;8.81;1
12:10:00.735;8.81;1
12:10:00.758;8.81;1
12:10:00.781;8.786;1
12:10:00.807;8.786;1
12:10:00.829;8.786;1
12:10:00.852;8.786;1
12:10:00.874;8.786;1
12:10:00.896;8.786;1
12:10:00.919;8.786;1
12:10:00.942;8.786;1
12:10:00.968;8.786;1
12:10:00.988;8.786;1
12:10:01.011;8.786;1
12:10:01.034;8.786;1
12:10:01.057;8.786;1
12:10:01.080;8.786;1
12:10:01.106;8.81;1
12:10:01.127;8.81;1
12:10:01.150;8.81;1
12:10:01.174;8.81;1
12:10:01.195;8.81;1
12:10:01.218;8.81;1
12:10:01.241;8.81;1
12:10:01.267;8.81;1
12:10:01.287;8.81;1
12:10:01.310;8.81;1
12:10:01.333;8.81;1
12:10:01.356;8.81;1
12:10:01.380;8.81;1
12:10:01.402;8.81;1
12:10:01.425;8.81;1
12:10:01.448;8.81;1
12:10:01.471;8.81;1
12:10:01.494;8.81;1
12:10:01.517;8.81;1
12:10:01.540;8.81;1
12:10:01.563;8.81;1
12:10:01.587;8.81;1
12:10:01.610;8.81;1
12:10:01.633;8.81;1
12:10:01.657;8.81;1
12:10:01.680;8.81;1
12:10:01.702;8.81;1
12:10:01.725;8.81;1
12:10:01.748;8.81;1
12:10:01.772;8.857;1
12:10:01.793;8.857;1
12:10:01.817;8.857;1
12:10:01.840;8.857;1
12:10:01.863;8.857;1
12:10:01.889;8.857;1
12:10:01.910;8.857;1
12:10:01.932;8.857;1
12:10:01.956;8.857;1
12:10:01.978;8.857;1
12:10:02.001;8.857;1
12:10:02.026;8.857;1
12:10:02.047;8.857;1
12:10:02.069;8.857;1
12:10:02.092;8.857;1
12:10:02.116;8.857;1
12:10:02.140;8.857;1
12:10:02.161;8.857;1
12:10:02.184;8.857;1
12:10:02.208;8.857;1
12:10:02.231;8.857;1
12:10:02.254;8.857;1
12:10:02.278;8.857;1
12:10:02.301;8.857;1
12:10:02.325;8.857;1
12:10:02.345;8.857;1
12:10:02.368;8.857;1
12:10:02.392;8.833;1
12:10:02.415;8.833;1
12:10:02.437;8.833;1
12:10:02.463;8.833;1
12:10:02.487;8.833;1
12:10:02.508;8.833;1
12:10:02.529;8.833;1
12:10:02.553;8.833;1
12:10:02.576;8.833;1
12:10:02.598;8.833;1
12:10:02.621;8.833;1
12:10:02.644;8.833;1
12:10:02.670;8.833;1
12:10:02.690;8.857;1
12:10:02.713;8.857;1
12:10:02.737;8.857;1
12:10:02.763;8.857;1
12:10:02.785;8.857;1
12:10:02.807;8.857;1
12:10:02.831;8.857;1
12:10:02.854;8.857;1
12:10:02.875;8.857;1
12:10:02.899;8.857;1
12:10:02.923;8.857;1
12:10:02.945;8.857;1
12:10:02.967;8.857;1
12:10:02.990;8.857;1
12:10:03.014;8.857;1
12:10:03.037;8.88;1
12:10:03.060;8.88;1
12:10:03.083;8.88;1
12:10:03.108;8.88;1
12:10:03.128;8.88;1
12:10:03.152;8.88;1
12:10:03.174;8.88;1
12:10:03.197;8.88;1
12:10:03.220;8.88;1
12:10:03.243;8.88;1
12:10:03.266;8.88;1
12:10:03.291;8.88;1
12:10:03.312;8.904;1
12:10:03.335;8.904;1
12:10:03.358;8.904;1
12:10:03.383;8.904;1
12:10:03.405;8.904;1
12:10:03.430;8.904;1
12:10:03.452;8.904;1
12:10:03.473;8.904;1
12:10:03.497;8.904;1
12:10:03.519;8.904;1
12:10:03.542;8.904;1
12:10:03.565;8.904;1
12:10:03.588;8.904;1
12:10:03.611;8.904;1
12:10:03.634;8.904;1
12:10:03.657;8.88;1
12:10:03.683;8.88;1
12:10:03.704;8.88;1
12:10:03.728;8.88;1
12:10:03.749;8.88;1
12:10:03.772;8.88;1
12:10:03.795;8.88;1
12:10:03.818;8.88;1
12:10:03.842;8.88;1
12:10:03.863;8.88;1
12:10:03.887;8.88;1
12:10:03.912;8.88;1
12:10:03.934;8.88;1
12:10:03.955;8.88;1
12:10:03.981;8.904;1
12:10:04.004;8.904;1
12:10:04.025;8.904;1
12:10:04.050;8.904;1
12:10:04.071;8.904;1
12:10:04.095;8.904;1
12:10:04.117;8.904;1
12:10:04.140;8.904;1
12:10:04.162;8.904;1
12:10:04.186;8.904;1
12:10:04.209;8.904;1
12:10:04.231;8.904;1
12:10:04.254;8.904;1
12:10:04.278;8.904;1
12:10:04.300;8.904;1
12:10:04.324;8.904;1
12:10:04.346;8.904;1
12:10:04.369;8.904;1
12:10:04.393;8.904;1
12:10:04.415;8.904;1
12:10:04.441;8.904;1
12:10:04.461;8.904;1
12:10:04.484;8.904;1
12:10:04.507;8.904;1
12:10:04.530;8.904;1
12:10:04.553;8.904;1
12:10:04.576;8.904;1
12:10:04.600;8.904;1
12:10:04.622;8.904;1
12:10:04.646;8.904;1
12:10:04.668;8.904;1
12:10:04.692;8.904;1
12:10:04.715;8.904;1
12:10:04.738;8.904;1
12:10:04.761;8.904;1
12:10:04.786;8.904;1
12:10:04.809;8.904;1
12:10:04.832;8.904;1
12:10:04.852;8.904;1
12:10:04.876;8.904;1
12:10:04.898;8.904;1
12:10:04.922;8.904;1
12:10:04.946;8.951;1
12:10:04.969;8.951;1
12:10:04.990;8.951;1
12:10:05.015;8.951;1
12:10:05.036;8.951;1
12:10:05.062;8.951;1
12:10:05.086;8.951;1
12:10:05.105;8.951;1
12:10:05.130;8.951;1
12:10:05.151;8.951;1
12:10:05.175;8.951;1
12:10:05.198;8.951;1
12:10:05.220;8.951;1
12:10:05.246;8.951;1
12:10:05.269;8.951;1
12:10:05.290;8.951;1
12:10:05.312;8.951;1
12:10:05.335;8.951;1
12:10:05.361;8.951;1
12:10:05.387;8.951;1
12:10:05.406;8.951;1
12:10:05.427;8.951;1
12:10:05.451;8.951;1
12:10:05.474;8.951;1
12:10:05.497;8.951;1
12:10:05.521;8.951;1
12:10:05.543;8.951;1
12:10:05.565;8.951;1
12:10:05.588;8.951;1
12:10:05.612;8.951;1
12:10:05.636;8.951;1
12:10:05.657;8.951;1
12:10:05.685;8.951;1
12:10:05.705;8.951;1
12:10:05.729;8.951;1
12:10:05.750;8.951;1
12:10:05.772;8.951;1
12:10:05.795;8.951;1
12:10:05.818;8.951;1
12:10:05.841;8.951;1
12:10:05.867;8.951;1
12:10:05.887;8.951;1
12:10:05.910;8.951;1
