TimeStamp;Частота вращения РСТ (Расчетная);0 - Bad, 1 - Good
12:10:00.001;1490.427;1
12:10:00.024;1490.403;1
12:10:00.046;1490.403;1
12:10:00.068;1490.337;1
12:10:00.091;1490.337;1
12:10:00.114;1490.325;1
12:10:00.140;1490.293;1
12:10:00.162;1490.282;1
12:10:00.183;1490.271;1
12:10:00.206;1490.255;1
12:10:00.229;1490.255;1
12:10:00.253;1490.242;1
12:10:00.277;1490.237;1
12:10:00.298;1490.214;1
12:10:00.322;1490.209;1
12:10:00.344;1490.191;1
12:10:00.369;1490.178;1
12:10:00.391;1490.169;1
12:10:00.414;1490.169;1
12:10:00.437;1490.153;1
12:10:00.459;1490.146;1
12:10:00.487;1490.141;1
12:10:00.508;1490.133;1
12:10:00.528;1490.129;1
12:10:00.552;1490.137;1
12:10:00.575;1490.129;1
12:10:00.597;1490.129;1
12:10:00.620;1490.14;0
12:10:00.643;1490.147;1
12:10:00.669;1490.172;1
12:10:00.689;1490.201;1
12:10:00.712;1490.236;1
12:10:00.735;1490.267;1
12:10:00.758;1490.267;1
12:10:00.781;1490.294;1
12:10:00.807;1490.37;1
12:10:00.829;1490.389;1
12:10:00.852;1490.416;1
12:10:00.874;1490.433;1
12:10:00.896;1490.433;1
12:10:00.919;1490.455;1
12:10:00.942;1490.466;1
12:10:00.968;1490.479;1
12:10:00.988;1490.495;1
12:10:01.011;1490.495;1
12:10:01.034;1490.513;1
12:10:01.057;1490.513;1
12:10:01.080;1490.532;1
12:10:01.106;1490.551;1
12:10:01.127;1490.569;1
12:10:01.150;1490.592;1
12:10:01.174;1490.592;1
12:10:01.195;1490.627;1
12:10:01.218;1490.655;1
12:10:01.241;1490.681;1
12:10:01.267;1490.739;1
12:10:01.287;1490.781;1
12:10:01.310;1490.834;1
12:10:01.333;1490.834;1
12:10:01.356;1490.91;1
12:10:01.380;1490.91;1
12:10:01.402;1490.922;1
12:10:01.425;1490.943;1
12:10:01.448;1490.951;1
12:10:01.471;1490.94;1
12:10:01.494;1490.924;1
12:10:01.517;1490.924;1
12:10:01.540;1490.924;1
12:10:01.563;1490.919;0
12:10:01.587;1490.903;1
