TimeStamp;Температура масла в магистрали общей откачки (поз. Тм);Температура слива масла из опоры турбины (поз. Т606);Температура масла на входе в двигатель за фильтром (поз. Т607);Температура топливного газа перед СК (перед расходомерным устройством) (поз. Ттг);Давление масла в нагнетающей магистрали двигателя (после фильтра) (поз. Pм);Давление масла в магистрали общей откачки (поз. Р615);Давление за ОК Pk1;Давление за ОК Pk2;Давление топливного газа перед дозаторами (поз. Pтг1.1);Вибрация промежуточного корпуса газогенератора (гориз.) (поз. В1);Вибрация корпуса силовой турбины (гориз.) (поз. В2);Положение дозатора газа 8402 (или ДУС-6,5 МП) ( поз. А ДГ);Контроль управления дозатором газа ДГ ;Частота вращения РНД (Расчетная);Частота вращения РВД (Расчетная);Частота вращения РСТ (Расчетная);Температура воздуха на входе в газогенератор (Расчетная);Давление воздуха за компрессором (Расчетная);Частота вращения РНД приведенная;Частота вращения РВД приведенная;Температура газов за ТНД максимальная (Расчетная);Положение лопаток НА КВД. (поз. A2) ;Положение КПВ (поз. A3)
12:10:00.001;21.548;28.16;24.361;8.762;302.095;198.239;244.713;257.59;2917.776;1.977;1.145;32.508;32.44;4052.99;9564.946;1490.427;5.601;250.959;4119.418;9722.291;439.119;16.139;8.072
12:10:00.024;21.548;28.16;24.361;8.762;302.095;198.239;244.713;257.59;2917.776;1.977;1.145;32.508;32.44;4053.209;9565.001;1490.403;5.601;251.152;4119.683;9722.339;439.119;16.139;8.072
12:10:00.046;21.548;28.16;24.361;8.762;302.559;198.22;243.865;258.663;2916.046;1.972;1.14;32.481;32.44;4053.209;9565.001;1490.403;5.601;251.152;4119.905;9722.395;439.119;15.876;7.931
12:10:00.068;21.548;28.16;24.361;8.762;302.559;198.22;243.865;258.663;2916.046;1.972;1.14;32.481;32.44;4053.079;9564.868;1490.337;5.601;251.264;4119.905;9722.395;439.107;15.876;7.931
12:10:00.091;21.548;28.23;24.361;8.762;302.262;197.553;243.865;257.82;2915.057;1.977;1.142;32.481;32.437;4053.079;9564.868;1490.337;5.601;251.264;4119.773;9722.26;439.107;15.758;7.931
12:10:00.114;21.548;28.23;24.361;8.762;302.262;197.553;244.79;256.671;2916.417;1.975;1.145;32.499;32.453;4054.095;9564.572;1490.325;5.578;250.843;4119.773;9722.26;439.107;15.758;7.926
12:10:00.140;21.548;28.23;24.361;8.762;301.743;197.516;244.481;256.671;2916.541;1.975;1.147;32.518;32.437;4053.857;9564.175;1490.293;5.578;250.73;4120.978;9722.363;439.107;15.793;7.943
12:10:00.162;21.618;28.23;24.361;8.762;301.947;198.016;243.865;257.207;2915.428;1.977;1.147;32.512;32.437;4053.27;9566.669;1490.282;5.578;250.576;4120.735;9721.96;439.107;15.843;7.985
12:10:00.183;21.618;28.23;24.361;8.762;302.262;198.498;243.865;257.59;2915.428;1.977;1.145;32.474;32.437;4055.184;9565.788;1490.271;5.578;250.536;4120.139;9724.495;439.069;15.983;7.917
12:10:00.206;21.618;28.23;24.361;8.762;302.262;198.498;243.865;257.59;2915.428;1.977;1.145;32.474;32.437;4053.181;9566.006;1490.255;5.578;250.728;4122.084;9723.6;439.044;15.983;7.917
12:10:00.229;21.618;28.23;24.361;8.762;302.299;198.832;245.329;256.671;2916.046;1.98;1.142;32.474;32.443;4053.181;9566.006;1490.255;5.578;250.728;4120.049;9723.821;439.044;15.988;7.917
12:10:00.253;21.618;28.23;24.361;8.762;302.299;198.832;244.404;257.514;2916.911;1.977;1.15;32.496;32.425;4053.968;9566.685;1490.242;5.554;251;4120.049;9723.821;439.032;15.906;7.948
12:10:00.277;21.618;28.23;24.361;8.762;302.151;198.461;244.25;257.437;2914.934;1.975;1.147;32.478;32.428;4052.919;9565.126;1490.237;5.554;250.959;4121.021;9724.917;439.044;15.906;7.985
